target,stage,n_oof,et_mae,et_rmse,dummy_mae,dummy_rmse,mae_skill_vs_dummy,mae_skill_ci_low,mae_skill_ci_high,rmse_skill_vs_dummy,rmse_skill_ci_low,rmse_skill_ci_high,passes_primary_point_threshold,mae_skill_interval_entirely_above_zero,rmse_skill_interval_entirely_above_zero,useful_learnability_primary_rule
energy_grav,P2,3201,87.12997713704354,127.8402091786441,220.42338785954152,282.6394465051339,0.6047153708001048,0.5848186296873755,0.6236697033925132,0.547691552755988,0.5238416147028657,0.5704190295750337,True,True,True,True
energy_grav,P3,3201,84.4727753575239,124.0498800196502,220.42338785954152,282.6394465051339,0.6167703609956683,0.5970809092088728,0.6347390409331528,0.5611020274999126,0.5346207419531211,0.5852734880179946,True,True,True,True
energy_vol,P1,3201,507.6783690949069,708.4023258991401,760.2225767123205,973.7033647543188,0.3321977212378685,0.3034175251861363,0.3595699842661903,0.2724659772764762,0.2456702045525389,0.2977751828068351,True,True,True,True
energy_vol,P2,3201,300.07133604993425,427.9509303979302,760.2225767123205,973.7033647543188,0.6052848925539267,0.5861308968949612,0.6246627567210437,0.5604914742120573,0.5384784472127826,0.5821862569893526,True,True,True,True
energy_vol,P3,3201,287.38209910283774,409.9744456086821,760.2225767123205,973.7033647543188,0.621976368623965,0.6042637361666483,0.6388420445141993,0.5789534467592958,0.5576962890710062,0.5989142325452893,True,True,True,True
max_delta_volume,P1,3201,0.0381957692400258,0.0839991890498361,0.0454478361798364,0.0840300544410094,0.1595690257092598,0.1115431872084373,0.2018872629518132,0.000367313711488,-0.1996226459059973,0.1213130096652078,False,True,False,False
max_delta_volume,P2,3201,0.0362491298879056,0.0816506242492417,0.0454478361798364,0.0840300544410094,0.2024014136895668,0.1552517984755659,0.2442298217565351,0.028316418543297,-0.1637880967074798,0.1528996697654332,False,True,False,False
max_delta_volume,P3,3201,0.0338209727676603,0.0751288087599615,0.0454478361798364,0.0840300544410094,0.2558287564267906,0.2159352254315453,0.2922501246268851,0.1059293099387039,-0.0214621370401184,0.1970113921843642,True,True,False,False
stability_charge,P1,3201,0.0420186738659322,0.1036284612251425,0.0499149561038331,0.1087920863352662,0.1581947146557644,0.1149099946925713,0.1997265136216921,0.0474632418962063,0.005922633454229,0.0930923288281595,False,True,True,False
stability_charge,P2,3201,0.0385664070264375,0.097532933114399,0.0499149561038331,0.1087920863352662,0.2273576892222121,0.1940455272638173,0.2615119721131471,0.1034923917735127,0.0631993955652188,0.1629070996490731,True,True,True,True
stability_charge,P3,3201,0.0334990648953891,0.0823719214312602,0.0499149561038331,0.1087920863352662,0.3288772041449003,0.2983178756417263,0.3580549328873986,0.2428500619299328,0.1843387107219055,0.3097595115727795,True,True,True,True
stability_discharge,P1,3201,0.0340708287294072,0.0797469441269574,0.0392529217202216,0.0823524634544874,0.1320180196457769,0.0783602820900202,0.1790371074730871,0.0316386325100036,-0.0060879236788072,0.0671141075156514,False,True,False,False
stability_discharge,P2,3201,0.03129409542156,0.0767136531695556,0.0392529217202216,0.0823524634544874,0.2027575515368959,0.1630482553322855,0.2412673386388189,0.0684716649435531,0.0296589310912103,0.1163735682044115,False,True,True,False
stability_discharge,P3,3201,0.0285065176919253,0.0666693792618384,0.0392529217202216,0.0823524634544874,0.2737733538637497,0.2381225429689857,0.3085886367162429,0.1904385556276211,0.0971612301344608,0.3099437926397763,True,True,True,True
stability_worst,P1,3201,0.0433654524055165,0.1043108465160816,0.0485875991952195,0.1084542944947723,0.1074790044414624,0.0562580679313922,0.1525999741330632,0.0382045542594018,-0.0043923517310856,0.0782882473216848,False,True,False,False
stability_worst,P2,3201,0.0390244887561453,0.0964049443354328,0.0485875991952195,0.1084542944947723,0.1968220409625641,0.1661677364418128,0.227335110046631,0.1111007195747353,0.0720755986976796,0.1652035773771519,True,True,True,True
stability_worst,P3,3201,0.0347741376388858,0.0816327993947427,0.0485875991952195,0.1084542944947723,0.2843001462334609,0.2542526631450698,0.3142844566158885,0.2473068975735435,0.1873286952652061,0.3084138613214676,True,True,True,True
