split_name,reporting_name,target,stage,n_folds,n_test_records_sum,macro_et_mae,macro_et_rmse,median_et_mae,median_et_rmse,macro_dummy_mae,macro_dummy_rmse,fraction_folds_et_better_dummy_mae,fraction_folds_et_better_dummy_rmse,macro_mae_skill_vs_dummy,macro_rmse_skill_vs_dummy,passes_10pct_macro_point_both
leave_family_out,coarse-chemistry-family-held-out validation,stability_charge,P1,10,3201,0.1047990540592305,0.1709007995133669,0.0626007908786834,0.0963121422140697,0.0879012394437329,0.1601446562531598,0.4,0.4,-0.1922363634737387,-0.0671651712387058,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_charge,P2,10,3201,0.100685922286724,0.1683270881321808,0.0611820244201029,0.1081990829941332,0.0879012394437329,0.1601446562531598,0.4,0.5,-0.1454437152865719,-0.0510940050730515,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_charge,P3,10,3201,0.0886008959195943,0.1429670081430321,0.0642142425598477,0.1508030788167766,0.0879012394437329,0.1601446562531598,0.6,0.7,-0.0079595746349996,0.1072633237475805,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_discharge,P1,10,3201,0.0580787430675235,0.0972556678303899,0.0532084324305627,0.0888517025640043,0.0537765452938991,0.0946992654993201,0.5,0.6,-0.0800013788560067,-0.0269949541592608,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_discharge,P2,10,3201,0.0621914391560681,0.1012856961344488,0.0496134531312978,0.089931114083445,0.0537765452938991,0.0946992654993201,0.3,0.5,-0.156478885286885,-0.069551021334753,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_discharge,P3,10,3201,0.066986550723775,0.1050638676098605,0.0487084737947009,0.0914122491142185,0.0537765452938991,0.0946992654993201,0.6,0.6,-0.2456462265785339,-0.1094475448768375,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_worst,P1,10,3201,0.1153991135076102,0.1843528733074379,0.0595292198559652,0.0982005718715462,0.0855457116036157,0.160815893602071,0.4,0.5,-0.3489760193044289,-0.1463597855794505,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_worst,P2,10,3201,0.1119718389269419,0.1786130437571236,0.0527425513774036,0.1127146901176664,0.0855457116036157,0.160815893602071,0.6,0.7,-0.3089123560719704,-0.1106678559961897,False
leave_family_out,coarse-chemistry-family-held-out validation,stability_worst,P3,10,3201,0.1003571568789611,0.1514717636216053,0.0567638344730174,0.1479444354228575,0.0855457116036157,0.160815893602071,0.5,0.7,-0.1731407103605113,0.0581045179749907,False
leave_working_ion_out,working-ion-held-out validation,average_voltage,P1,3,3201,0.5528576279626676,0.7442435621302571,0.6073604829830965,0.798034243165379,1.0022884933121337,1.2259619234832415,1.0,1.0,0.4484046942056471,0.3929309321323055,True
leave_working_ion_out,working-ion-held-out validation,average_voltage,P2,3,3201,0.5480889881495749,0.7357326028985534,0.6067710615170097,0.7862817679860645,1.0022884933121337,1.2259619234832415,1.0,1.0,0.4531624459357247,0.3998732025802508,True
leave_working_ion_out,working-ion-held-out validation,average_voltage,P3,3,3201,0.4699026933803534,0.5992234029202713,0.4370361503101923,0.5557645198097101,1.0022884933121337,1.2259619234832415,1.0,1.0,0.5311702204347108,0.5112218483770369,True
leave_working_ion_out,working-ion-held-out validation,capacity_grav,P1,3,3201,39.26286446296519,60.72251482290761,35.24183002245976,64.89620807474193,58.27333500676677,72.4924164617663,1.0,1.0,0.3262293215515133,0.1623604538699068,True
leave_working_ion_out,working-ion-held-out validation,capacity_grav,P2,3,3201,33.09679610920355,48.63923072582764,29.710009427724863,43.84070163615208,58.27333500676677,72.4924164617663,1.0,1.0,0.4320421835242428,0.3290438765897564,True
leave_working_ion_out,working-ion-held-out validation,capacity_grav,P3,3,3201,27.8275981092532,40.20272937720399,27.38478124896607,37.26137910920264,58.27333500676677,72.4924164617663,1.0,1.0,0.5224642951013216,0.4454215856025771,True
leave_working_ion_out,working-ion-held-out validation,capacity_vol,P1,3,3201,139.8086977652675,212.7498399547751,125.08806312859636,215.5866873991008,206.44644430700745,256.6755821874293,1.0,1.0,0.3227846658508811,0.1711333110002603,True
leave_working_ion_out,working-ion-held-out validation,capacity_vol,P2,3,3201,113.9176921719619,164.5778691469422,102.73881544737657,152.9221081002605,206.44644430700745,256.6755821874293,1.0,1.0,0.4481973639490038,0.3588097950557511,True
leave_working_ion_out,working-ion-held-out validation,capacity_vol,P3,3,3201,100.01775077557204,142.19217854683652,99.97270131608688,129.05279650033194,206.44644430700745,256.6755821874293,1.0,1.0,0.515526890708589,0.4460237419740023,True
leave_working_ion_out,working-ion-held-out validation,energy_grav,P1,3,3201,138.6704472510299,207.5023469689381,120.6402314786002,210.3053457547062,230.0095812604508,284.30101171204905,1.0,1.0,0.397110126929857,0.2701315210967155,True
leave_working_ion_out,working-ion-held-out validation,energy_grav,P2,3,3201,125.76627370483531,181.41467852228268,109.38325063986672,169.87167859939473,230.0095812604508,284.30101171204905,1.0,1.0,0.4532128921950247,0.3618922513507394,True
leave_working_ion_out,working-ion-held-out validation,energy_grav,P3,3,3201,120.37821776876604,167.82553878291503,102.57078769717091,150.12552785995126,230.0095812604508,284.30101171204905,1.0,1.0,0.4766382465065398,0.4096906733737017,True
leave_working_ion_out,working-ion-held-out validation,energy_vol,P1,3,3201,483.3166282583039,694.7041852915722,399.85971188018976,627.1819617655068,771.0927687654452,957.8514637116356,1.0,1.0,0.3732056014062797,0.2747266025990902,True
leave_working_ion_out,working-ion-held-out validation,energy_vol,P2,3,3201,433.5255922890219,601.9492606818559,392.2389130947877,554.6143487572106,771.0927687654452,957.8514637116356,1.0,1.0,0.4377776451164025,0.3715630413620427,True
leave_working_ion_out,working-ion-held-out validation,energy_vol,P3,3,3201,407.3721929463194,554.762169092779,337.7970715496614,464.5031150809306,771.0927687654452,957.8514637116356,1.0,1.0,0.4716949640202942,0.4208265163127713,True
leave_working_ion_out,working-ion-held-out validation,max_delta_volume,P1,3,3201,0.0676820690922226,0.1138115480537335,0.0560162193473739,0.0886609783392327,0.0752146069840686,0.1159568656924812,1.0,0.3333333333333333,0.100147274497379,0.0185009971245434,False
