record_index,working_ion,electrode_uid,framework_uid,chemical_system_uid,host_chemsys_no_working_ion,coarse_family,battery_formula,formula_charge,formula_discharge,framework_formula,id_charge,id_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,stability_worst,chemsys,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets,fracA_charge,fracA_discharge,num_steps,max_voltage_step,summary_worst_energy_above_hull,charge_summary_energy_above_hull,discharge_summary_energy_above_hull,charge_summary_formula_pretty,discharge_summary_formula_pretty,case_voltage_window_pass,case_capacity_pass,case_energy_pass,case_volume_pass,case_stability_pass,case_physics_plausible,case_screen_pass
Na_000020,Na,el_ac8e76a995df5aff,Na|MnAsCO7,As-C-Mn-O,As-C-Mn-O,transition_metal_oxide_like,Na1-3MnAsCO7,NaMnAsCO7,Na3MnAsCO7,MnAsCO7,mp-aaabrwka,mp-aaabrwpf,3.390345429051724,166.03802903051624,519.4772402930176,562.9262727723682,1761.2072871238363,0.062758297887686,0.012315709429295,0.0,0.012315709429295,As-C-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,0.918020545000018,0.0156553062070736,0.0156553062070736,0.0,NaMnAsCO7,Na3MnAsCO7,True,True,True,True,True,True,True
Na_000021,Na,el_55612b619d2ff21a,Na|NiAsCO7,As-C-Ni-O,As-C-Ni-O,transition_metal_oxide_like,Na2-3NiAsCO7,Na2NiAsCO7,Na3NiAsCO7,NiAsCO7,mp-aaabryvn,mp-aaabrwlo,3.856678581551722,82.0644075153952,272.454836747416,316.4960427723569,1050.7707333239302,0.011813930942475,0.016718646132482,0.0,0.016718646132482,As-C-Ni-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0167186461324835,0.0167186461324835,0.0,Na2NiAsCO7,Na3NiAsCO7,True,True,True,True,True,True,True
Na_000022,Na,el_6c9021d386f36f29,Na|VAsCO7,As-C-O-V,As-C-O-V,transition_metal_oxide_like,Na1-3VAsCO7,NaVAsCO7,Na3VAsCO7,VAsCO7,mp-aaabsbin,mp-aaabrwyg,2.443383406551728,168.11926327895614,522.3316433493002,410.7798182175028,1276.2564700765756,0.020702201578926,0.050211779545454,0.045786530229693,0.050211779545454,As-C-O-V,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,2.241200739999996,0.0502117795454495,0.0502117795454495,0.0457865302296935,NaVAsCO7,Na3VAsCO7,True,True,True,True,True,True,True
Na_000023,Na,el_8a71e032032ec194,Na|SnAsCO7,As-C-O-Sn,As-C-O-Sn,organic_or_carbon_like,Na1-3SnAsCO7,NaSnAsCO7,Na3SnAsCO7,SnAsCO7,mp-aaabryxp,mp-aaabrwag,2.203955641551719,138.64959957754283,465.5698707319389,305.57756718781235,1026.095343136161,0.080478990060486,0.026341233030268,0.079585738397435,0.079585738397435,As-C-O-Sn,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,1.0,0.0,0.0795857383974354,0.0263412330302932,0.0795857383974354,NaSnAsCO7,Na3SnAsCO7,True,True,True,True,True,True,True
Na_000024,Na,el_baba2c7fae4f260f,Na|Ni2As(CO4)4,As-C-Ni-O,As-C-Ni-O,transition_metal_oxide_like,Na5-6Ni2As(CO4)4,Na5Ni2As(CO4)4,Na6Ni2As(CO4)4,Ni2As(CO4)4,mp-aaabrwvj,mp-aaabsmih,3.781584476551732,42.254953698391056,130.20315945633035,159.79067696324782,492.3742465980488,0.02358907758286,0.062302664642858,0.050394185100572,0.062302664642858,As-C-Ni-O,True,True,True,True,True,True,True,True,True,True,True,True,0.178571428571428,0.206896551724137,1.0,0.0,0.0623026646428623,0.0623026646428623,0.0503941851005764,Na5Ni2As(CO4)4,Na6Ni2As(CO4)4,True,False,True,True,True,True,False
Na_000025,Na,el_a404dc1a31f7d9a3,Na|MnAsO4,As-Mn-O,As-Mn-O,transition_metal_oxide_like,Na0-1MnAsO4,MnAsO4,NaMnAsO4,MnAsO4,mp-aaabdbol,mp-aaaabalo,3.412239079051719,123.59626547938969,479.1636017938636,421.74000709362446,1635.020767300198,0.158095791572673,0.031322605,0.0,0.031322605,As-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.142857142857142,1.0,0.0,0.0354971009722211,0.0354971009722211,0.0,MnAsO4,NaMnAsO4,True,True,True,True,True,True,True
Na_000026,Na,el_3af303dfeeb29e7d,Na|SiBiBO7,B-Bi-O-Si,B-Bi-O-Si,silicate_like,Na2-3SiBiBO7,Na2SiBiBO7,Na3SiBiBO7,SiBiBO7,mp-aaabrzmt,mp-aaabrzbr,3.4957848715517232,62.49733154724774,253.6764172824556,218.4772261352209,886.7981818054504,0.008031644945139,0.085011077499999,0.026838610686826,0.085011077499999,B-Bi-O-Si,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0850110774999999,0.0850110774999999,0.0268386106868145,Na2SiBiBO7,Na3SiBiBO7,True,True,True,True,True,True,True
Na_000027,Na,el_86638f81c43e9909,Na|Bi2B4SO16,B-Bi-O-S,B-Bi-O-S,sulfate_or_sulfur_oxoanion_like,Na4-6Bi2B4SO16,Na4Bi2B4SO16,Na6Bi2B4SO16,Bi2B4SO16,mp-aaabsipt,mp-aaabsiur,3.7826880740517232,60.418207670445774,233.17832170812204,228.5432336105756,882.0408566527094,0.016052765222992,0.068665403888894,0.017836379655176,0.068665403888894,B-Bi-O-S,True,True,True,True,True,True,True,True,True,True,True,True,0.148148148148148,0.206896551724137,1.0,0.0,0.0686654038888887,0.0686654038888887,0.0178363796551757,Na4Bi2B4SO16,Na6Bi2B4SO16,True,True,True,True,True,True,True
Na_000028,Na,el_73af9493427fd168,Na|BiBPO7,B-Bi-O-P,B-Bi-O-P,polyanion_phosphate_like,Na2-3BiBPO7,Na2BiBPO7,Na3BiBPO7,BiBPO7,mp-aaabrxrp,mp-aaabrsyw,3.637906706551721,62.079226354215486,246.99746813768684,225.83843389154288,898.553745839386,0.018314198234093,0.075517408368057,0.020522083202662,0.075517408368057,B-Bi-O-P,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0757129595486079,0.0757129595486079,0.0205220832026604,Na2BiBPO7,Na3BiBPO7,True,True,True,True,True,True,True
Na_000029,Na,el_8097ccc781187cbc,Na|CuBSO7,B-Cu-O-S,B-Cu-O-S,sulfate_or_sulfur_oxoanion_like,Na2-3CuBSO7,Na2CuBSO7,Na3CuBSO7,CuBSO7,mp-aaabrwso,mp-aaabrwfz,3.032991951551726,93.25916303902316,274.0391439820014,282.85429090580743,831.1585181075349,0.003459685322988,0.081586021526446,0.08911558653846,0.08911558653846,B-Cu-O-S,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0891155865384663,0.0854919569431116,0.0891155865384663,Na2CuBSO7,Na3CuBSO7,True,True,True,True,True,True,True
