target,stage,fold_id,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy,scientific_signature
capacity_vol,P1,2,2561,640,73,144.11747985979017,205.94466068929788,0.3559066507769379,0.6415432681411792,196.69439407319388,256.7265798125625,-0.0008970539623152,,0.267302555627685,0.1978054596463707,2ddf0bccd6df30f841e30ccdcdaa058daf86a8bb63f5840de96e61d5782ee432
capacity_vol,P1,3,2561,640,73,140.57333079203605,215.3437469030823,0.440288369329066,0.6949969906422508,210.4918399239682,289.8979996538949,-0.0143556162966866,,0.3321673142160163,0.2571740848154242,2ddf0bccd6df30f841e30ccdcdaa058daf86a8bb63f5840de96e61d5782ee432
capacity_vol,P1,4,2561,640,73,133.50613638868336,194.58078665848663,0.4129661813091613,0.7018249495072234,201.53288737087988,254.46019541822469,-0.0039288262173446,,0.3375466499272015,0.2353193538239711,2ddf0bccd6df30f841e30ccdcdaa058daf86a8bb63f5840de96e61d5782ee432
capacity_vol,P2,0,2560,641,93,55.61073727356364,91.60489437463112,0.8871301558634945,0.9432445370048116,220.8487490018924,272.7499089589717,-0.0006214243444477,,0.7481953711538247,0.6641432632396926,43438b463e60d4a013ea5210a525e124ceec4e18ec703cff07931147eace2ae3
capacity_vol,P2,1,2561,640,93,50.9071523231036,99.31709928053614,0.8618227409240996,0.9547184324192332,201.4142062684625,267.2122270271077,-0.0002329871793473,,0.7472514314345331,0.6283212771155835,43438b463e60d4a013ea5210a525e124ceec4e18ec703cff07931147eace2ae3
capacity_vol,P2,2,2561,640,93,57.60045018642794,95.43487060021248,0.8616873447258424,0.9434094903661,196.69439407319388,256.7265798125625,-0.0008970539623152,,0.7071576418950014,0.628262602688471,43438b463e60d4a013ea5210a525e124ceec4e18ec703cff07931147eace2ae3
capacity_vol,P2,3,2561,640,93,54.30733599923941,91.98260718942186,0.8978799000328227,0.948388655906318,210.4918399239682,289.8979996538949,-0.0143556162966866,,0.74199790348711,0.6827069959115324,43438b463e60d4a013ea5210a525e124ceec4e18ec703cff07931147eace2ae3
capacity_vol,P2,4,2561,640,93,57.23865677368656,96.15345509363492,0.8566515502623315,0.9310493159162988,201.53288737087988,254.46019541822469,-0.0039288262173446,,0.715983542336936,0.6221277165349991,43438b463e60d4a013ea5210a525e124ceec4e18ec703cff07931147eace2ae3
capacity_vol,P3,0,2560,641,112,65.9498708232978,97.65417385616848,0.8717308581199794,0.9361071628928768,220.8487490018924,272.7499089589717,-0.0006214243444477,,0.7013799212295619,0.6419644126412593,b5de8b8db6b47b12529eff4d2f52a2dee0e159cd3f6cd30ef548b5ed90efb1bc
capacity_vol,P3,1,2561,640,112,56.05424306224937,103.12292826646788,0.8510299397313208,0.955380246900017,201.4142062684625,267.2122270271077,-0.0002329871793473,,0.7216966762139143,0.61407855690673,b5de8b8db6b47b12529eff4d2f52a2dee0e159cd3f6cd30ef548b5ed90efb1bc
capacity_vol,P3,2,2561,640,112,65.18953782987913,103.59304875356432,0.8370295104887907,0.9343796463126132,196.69439407319388,256.7265798125625,-0.0008970539623152,,0.6685745003712673,0.5964849107981021,b5de8b8db6b47b12529eff4d2f52a2dee0e159cd3f6cd30ef548b5ed90efb1bc
capacity_vol,P3,3,2561,640,112,62.2375575325842,103.03454288056216,0.8718656712402649,0.946929542674665,210.4918399239682,289.8979996538949,-0.0143556162966866,,0.7043231815776563,0.6445834638266782,b5de8b8db6b47b12529eff4d2f52a2dee0e159cd3f6cd30ef548b5ed90efb1bc
