chemical_system_uid,n_records,n_case_screen_pass,best_final_triage_score,best_top20_probability,families
Ag-F-Ti,1,0,-0.041436229202161085,0.0,halide_or_fluoride_like
Cu-O-Ti,1,0,-0.04408147846014826,0.0,transition_metal_oxide_like
O-Si-Ti,1,0,-0.04633522222946454,0.0,silicate_like
Nb-Se,3,0,-0.048601732065648495,0.0,other_or_unclear
Nb-O-Pr,1,0,-0.05625364890176457,0.0,transition_metal_oxide_like
C-O-P-Ti,1,0,-0.05643208007016845,0.0,polyanion_phosphate_like
Nb-Nd-O,1,0,-0.06141274013445924,0.0,transition_metal_oxide_like
Nb-O-P,1,0,-0.06693653213801903,0.0,polyanion_phosphate_like
Br-Rb-Sb,1,0,-0.0679981074776711,0.0,halide_or_fluoride_like
Br-Cs-Mo,1,0,-0.06803078346348843,0.0,halide_or_fluoride_like
C-O-P-Tl,1,0,-0.06820705655075848,0.0,polyanion_phosphate_like
Cu-Nb-O-Ti,1,0,-0.06879001546743499,0.0,transition_metal_oxide_like
F-Li-Nb,1,0,-0.07319754630201197,0.0,halide_or_fluoride_like
Se-Ti,1,0,-0.07990951976076766,0.0,other_or_unclear
F-N-V,1,0,-0.08176379828757241,0.0,halide_or_fluoride_like
Rb-Sb,1,0,-0.08425208152840274,0.0,other_or_unclear
Cu-O-V,1,0,-0.08500384008966705,0.0,transition_metal_oxide_like
O-Re,1,0,-0.09375339774616306,0.0,transition_metal_oxide_like
Br-Mo-Rb,1,0,-0.09712112626886754,0.0,halide_or_fluoride_like
B-O-Sb-Si,1,0,-0.10244904566098684,0.0,silicate_like
Cr-Se,1,0,-0.10510155630252238,0.0,other_or_unclear
Cd-N,1,0,-0.1113346582341802,0.0,other_or_unclear
Cu-Fe-S,1,0,-0.11222567731610417,0.0,sulfide_like
C-O-Si-Sn,1,0,-0.11239181959216718,0.0,silicate_like
Ag-O,1,0,-0.1175166957219329,0.0,transition_metal_oxide_like
Cu-Se,1,0,-0.11809975374820028,0.0,other_or_unclear
Fe-Sb,1,0,-0.12464680486406943,0.0,other_or_unclear
Sc-Sn,1,0,-0.13113563591622932,0.0,other_or_unclear
Ba-Cu-O,1,0,-0.1312121312559424,0.0,transition_metal_oxide_like
