target,stage,fold_id,n_train,n_test,n_features,ridge_mae,ridge_rmse,ridge_r2,ridge_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy
capacity_vol,P2,1,2561,640,93,109.7643182038834,187.30689292159298,0.5085311015809567,0.8363576021914119,201.4142062684625,267.2122270271077,-0.0002329871793473881,,0.45503189552786605,0.299033225367373
capacity_vol,P2,2,2561,640,93,113.36187615478725,166.66857111259966,0.5781528055514706,0.8233414723912903,196.69439407319388,256.7265798125625,-0.0008970539623152085,,0.42366493621265555,0.350793473608049
capacity_vol,P2,3,2561,640,93,119.96546888760015,169.30350133830476,0.6540353860874297,0.7997817377483833,210.4918399239682,289.8979996538949,-0.01435561629668669,,0.4300706909544194,0.41598941165363745
capacity_vol,P2,4,2561,640,93,114.3081435145989,193.09357427726943,0.4219054766041638,0.8389988134736658,201.53288737087988,254.46019541822469,-0.003928826217344694,,0.43280650118291497,0.2411639315142966
capacity_vol,P3,0,2560,641,112,100.03427100029157,145.4915944288619,0.715281048718166,0.8746465583247208,220.84874900189237,272.7499089589717,-0.0006214243444477852,,0.5470462411383892,0.4665750944366128
capacity_vol,P3,1,2561,640,112,92.51479854510049,148.97981466817492,0.6890837797530037,0.8794338639742775,201.4142062684625,267.2122270271077,-0.0002329871793473881,,0.5406739164079188,0.44246632601485913
capacity_vol,P3,2,2561,640,112,97.83065991975882,138.83233430450284,0.7072957740761803,0.8695009631371172,196.69439407319388,256.7265798125625,-0.0008970539623152085,,0.5026260896721129,0.45922103427753724
capacity_vol,P3,3,2561,640,112,94.38845838803225,132.58216970496085,0.7878368060388248,0.8789367314129187,210.4918399239682,289.8979996538949,-0.01435561629668669,,0.5515813894632384,0.5426592461374387
capacity_vol,P3,4,2561,640,112,92.8434988556333,141.82041094719514,0.688153631705976,0.8802653021613823,201.53288737087988,254.46019541822469,-0.003928826217344694,,0.539313409008159,0.44266170701432295
energy_grav,P1,0,2560,641,73,172.99523341562562,230.0984949802298,0.3202682359201936,0.5733687509529332,220.48477368522722,281.22168982674094,-0.015330976230450988,,0.21538693795427144,0.1817896581092584
