target,stage,split_name,fold_id,heldout_group,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,source,mae_skill_vs_dummy,rmse_skill_vs_dummy,reporting_name
capacity_grav,P1,leave_working_ion_out,1,Na,2807,394,73,29.330147074862243,42.75839016235455,0.5667818600842153,0.7713531286022072,56.39244515468143,67.12309655382859,-0.0675983856348549,,historical_notebook04_reused_after_compatibility_gate,0.4798922622629461,0.3629854348560192,working-ion-held-out validation
capacity_grav,P1,leave_working_ion_out,2,K,3052,149,73,35.24183002245976,64.89620807474193,-0.1704490759447254,0.7703831890591342,60.70396212473523,69.26122928705459,-0.3331968257687439,,historical_notebook04_reused_after_compatibility_gate,0.419447614472933,0.06302257781509679,working-ion-held-out validation
capacity_grav,P2,leave_working_ion_out,0,Li,543,2658,93,41.32002279797522,58.978125035339886,0.42095215846944,0.7403957332661315,57.723597740883655,81.0929235444157,-0.0947083707630978,,historical_notebook04_reused_after_compatibility_gate,0.2841745072187408,0.2727093504892968,working-ion-held-out validation
capacity_grav,P2,leave_working_ion_out,1,Na,2807,394,93,29.710009427724863,43.84070163615208,0.5445728325971688,0.8016845678263324,56.39244515468143,67.12309655382859,-0.0675983856348549,,historical_notebook04_reused_after_compatibility_gate,0.4731562118607925,0.34686115678536167,working-ion-held-out validation
capacity_grav,P2,leave_working_ion_out,2,K,3052,149,93,28.260356101910578,43.09886550599094,0.4837672452217398,0.823015647757378,60.70396212473523,69.26122928705459,-0.3331968257687439,,historical_notebook04_reused_after_compatibility_gate,0.5344561522386156,0.37773461502730754,working-ion-held-out validation
capacity_grav,P3,leave_working_ion_out,0,Li,543,2658,112,34.54598747878901,52.88035983262142,0.534498240565703,0.826637747285065,57.723597740883655,81.0929235444157,-0.0947083707630978,,historical_notebook04_reused_after_compatibility_gate,0.4015274717653078,0.34790413859406455,working-ion-held-out validation
capacity_grav,P3,leave_working_ion_out,1,Na,2807,394,112,21.552025600004505,30.46644918978789,0.7800582767018169,0.8780523288368891,56.39244515468143,67.12309655382859,-0.0675983856348549,,historical_notebook04_reused_after_compatibility_gate,0.6178206931639786,0.5461107911588126,working-ion-held-out validation
capacity_grav,P3,leave_working_ion_out,2,K,3052,149,112,27.38478124896607,37.26137910920264,0.6141382497360448,0.8365927830278596,60.70396212473523,69.26122928705459,-0.3331968257687439,,historical_notebook04_reused_after_compatibility_gate,0.5488798376505393,0.46201678063246476,working-ion-held-out validation
capacity_vol,P1,leave_working_ion_out,0,Li,543,2658,73,190.7809325448808,269.95085168250563,0.0223468653061489,0.3696966347036192,204.93475944193716,285.68928092220875,-0.094972683808655,,cmt_stage_d_new_fit,0.0690650377495697,0.055089323578747,working-ion-held-out validation
capacity_vol,P1,leave_working_ion_out,1,Na,2807,394,73,103.5570976223253,152.71198078271888,0.5930794554051688,0.758440528900777,204.14953924979676,245.7830289998869,-0.0540644849120008,,cmt_stage_d_new_fit,0.4927390088516773,0.3786715811741862,working-ion-held-out validation
capacity_vol,P1,leave_working_ion_out,2,K,3052,149,73,125.08806312859636,215.5866873991008,-0.174479335790483,0.7492576464071246,210.25503422928836,238.55443664019228,-0.4380583137838414,,cmt_stage_d_new_fit,0.405065074483854,0.0962788601401422,working-ion-held-out validation
capacity_vol,P2,leave_working_ion_out,0,Li,543,2658,93,150.6627479426696,220.4786096544544,0.3478487722069701,0.6983874460661371,204.93475944193716,285.68928092220875,-0.094972683808655,,cmt_stage_d_new_fit,0.2648257994254219,0.2282573257815395,working-ion-held-out validation
capacity_vol,P2,leave_working_ion_out,1,Na,2807,394,93,102.73881544737657,152.9221081002605,0.5919588629231495,0.8156545692391377,204.14953924979676,245.7830289998869,-0.0540644849120008,,cmt_stage_d_new_fit,0.4967472577948576,0.3778166510417168,working-ion-held-out validation
capacity_vol,P2,leave_working_ion_out,2,K,3052,149,93,88.35151312583953,120.33288968611168,0.6340934419862245,0.8454017776165428,210.25503422928836,238.55443664019228,-0.4380583137838414,,cmt_stage_d_new_fit,0.5797888338336288,0.49557471501732,working-ion-held-out validation
capacity_vol,P3,leave_working_ion_out,0,Li,543,2658,112,127.03660471416376,190.07963290908063,0.515284885421692,0.8035285621065998,204.93475944193716,285.68928092220875,-0.094972683808655,,cmt_stage_d_new_fit,0.3801119680228954,0.3346630566764664,working-ion-held-out validation
capacity_vol,P3,leave_working_ion_out,1,Na,2807,394,112,73.04394629646544,107.44410623109694,0.7985679411975337,0.8861321601979248,204.14953924979676,245.7830289998869,-0.0540644849120008,,cmt_stage_d_new_fit,0.6422037171140069,0.562849775803087,working-ion-held-out validation
capacity_vol,P3,leave_working_ion_out,2,K,3052,149,112,99.97270131608688,129.05279650033194,0.579141269312202,0.8310429892980229,210.25503422928836,238.55443664019228,-0.4380583137838414,,cmt_stage_d_new_fit,0.524516967298561,0.4590216039663092,working-ion-held-out validation
energy_grav,P1,leave_working_ion_out,0,Li,543,2658,73,191.72737888891368,256.6998589432778,0.1918286120349485,0.5234126364164623,229.3787508369688,307.1878881254602,-0.157338464524948,,historical_notebook04_reused_after_compatibility_gate,0.16414498645001285,0.1643555333196025,working-ion-held-out validation
energy_grav,P1,leave_working_ion_out,1,Na,2807,394,73,103.64373138557592,155.5018362088303,0.5776896795659451,0.7923076611350459,212.69876620432728,257.68323401052123,-0.1596661387010385,,historical_notebook04_reused_after_compatibility_gate,0.5127205802124333,0.39653878993741154,working-ion-held-out validation
energy_grav,P1,leave_working_ion_out,2,K,3052,149,73,120.6402314786002,210.3053457547062,0.3383743366278702,0.7925780947518888,247.95122674005623,288.0319130001656,-0.2410604500503803,,historical_notebook04_reused_after_compatibility_gate,0.5134517660399585,0.26985401178589097,working-ion-held-out validation
energy_grav,P2,leave_working_ion_out,0,Li,543,2658,93,158.90604483149758,216.20011611746645,0.4267236092945317,0.7023058219488039,229.3787508369688,307.1878881254602,-0.157338464524948,,historical_notebook04_reused_after_compatibility_gate,0.30723293133442764,0.2961958316886275,working-ion-held-out validation
energy_grav,P2,leave_working_ion_out,1,Na,2807,394,93,109.38325063986672,158.1722408499869,0.5630606218111076,0.7514209911646973,212.69876620432728,257.68323401052123,-0.1596661387010385,,historical_notebook04_reused_after_compatibility_gate,0.48573631811860807,0.38617566075902043,working-ion-held-out validation
energy_grav,P2,leave_working_ion_out,2,K,3052,149,93,109.0095256431416,169.87167859939473,0.5683282034773017,0.8122728097224742,247.95122674005623,288.0319130001656,-0.2410604500503803,,historical_notebook04_reused_after_compatibility_gate,0.5603589985161738,0.4102331341343518,working-ion-held-out validation
energy_grav,P3,leave_working_ion_out,0,Li,543,2658,108,159.81476651156063,212.5560681904779,0.4458858675213807,0.6654371101556723,229.3787508369688,307.1878881254602,-0.157338464524948,,historical_notebook04_reused_after_compatibility_gate,0.3032712667218719,0.3080584345706143,working-ion-held-out validation
energy_grav,P3,leave_working_ion_out,1,Na,2807,394,108,98.74909909756656,140.79502029831593,0.6537934812018262,0.8123201780696337,212.69876620432728,257.68323401052123,-0.1596661387010385,,historical_notebook04_reused_after_compatibility_gate,0.5357326191412692,0.4536120254817694,working-ion-held-out validation
energy_grav,P3,leave_working_ion_out,2,K,3052,149,108,102.57078769717091,150.12552785995126,0.6628518251211939,0.8189951024850354,247.95122674005623,288.0319130001656,-0.2410604500503803,,historical_notebook04_reused_after_compatibility_gate,0.5863267585092342,0.4787885609749607,working-ion-held-out validation
energy_vol,P1,leave_working_ion_out,0,Li,543,2658,73,689.5952929410014,938.253854937051,0.0978860492720442,0.4252856053792606,789.4707734266927,1066.3102294112398,-0.165166085686824,,cmt_stage_d_new_fit,0.1265094083878273,0.1200929813314224,working-ion-held-out validation
energy_vol,P1,leave_working_ion_out,1,Na,2807,394,73,360.4948799537205,518.6767391721588,0.6074571460354357,0.7816788044434948,731.3083673484699,888.5299180713686,-0.1519606477794832,,cmt_stage_d_new_fit,0.5070548949675233,0.4162529267466966,working-ion-held-out validation
energy_vol,P1,leave_working_ion_out,2,K,3052,149,73,399.85971188018976,627.1819617655068,0.3493737331614351,0.7427873323946559,792.4991655211728,918.7142436522988,-0.3960641454154916,,cmt_stage_d_new_fit,0.4954446272290657,0.3173263981712324,working-ion-held-out validation
energy_vol,P2,leave_working_ion_out,0,Li,543,2658,93,571.4204660682817,784.5763507890626,0.3692008338973028,0.6727316123807313,789.4707734266927,1066.3102294112398,-0.165166085686824,,cmt_stage_d_new_fit,0.2761980743276475,0.2642138008726932,working-ion-held-out validation
energy_vol,P2,leave_working_ion_out,1,Na,2807,394,93,392.2389130947877,554.6143487572106,0.5511763486979306,0.7139135540205213,731.3083673484699,888.5299180713686,-0.1519606477794832,,cmt_stage_d_new_fit,0.4636477160558933,0.3758067821047047,working-ion-held-out validation
energy_vol,P2,leave_working_ion_out,2,K,3052,149,93,336.91739770399624,466.6570824992945,0.6398029122713296,0.8160239434064938,792.4991655211728,918.7142436522988,-0.3960641454154916,,cmt_stage_d_new_fit,0.5748671893144157,0.4920541553333009,working-ion-held-out validation
energy_vol,P3,leave_working_ion_out,0,Li,543,2658,108,566.1638821350697,780.017326352913,0.3765104433742212,0.654444852779681,789.4707734266927,1066.3102294112398,-0.165166085686824,,cmt_stage_d_new_fit,0.2828564385257239,0.2684893149870677,working-ion-held-out validation
energy_vol,P3,leave_working_ion_out,1,Na,2807,394,108,337.7970715496614,464.5031150809306,0.6851738534777703,0.798115416629675,731.3083673484699,888.5299180713686,-0.1519606477794832,,cmt_stage_d_new_fit,0.5380921556054064,0.4772228760859567,working-ion-held-out validation
energy_vol,P3,leave_working_ion_out,2,K,3052,149,108,318.15562515422727,419.7660658444934,0.7085533094955996,0.8452965717395249,792.4991655211728,918.7142436522988,-0.3960641454154916,,cmt_stage_d_new_fit,0.598541375188707,0.5430939829824166,working-ion-held-out validation
max_delta_volume,P1,leave_working_ion_out,0,Li,543,2658,73,0.0560162193473739,0.0886609783392327,-0.4142322446513831,0.162762993988172,0.0615333040544466,0.086669922212967,-0.3514267468007097,,historical_notebook04_reused_after_compatibility_gate,0.08966014082700657,-0.022972861581359583,working-ion-held-out validation
max_delta_volume,P1,leave_working_ion_out,1,Na,2807,394,73,0.0526884618761538,0.085035185090142,0.2183229878017447,0.453795851104582,0.0598452795259911,0.0994541027159972,-0.0692405597385783,,historical_notebook04_reused_after_compatibility_gate,0.11958867443720533,0.1449806215338355,working-ion-held-out validation
