material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaabgmw,True,80,
mp-aaaabgoa,True,80,
mp-aaaabgpu,True,32,
mp-aaaabgtj,True,26,
mp-aaaabguv,True,20,
mp-aaaabgxn,True,28,
mp-aaaabhdm,True,8,
mp-aaaabhef,True,28,
mp-aaaabhgk,True,28,
mp-aaaabhik,True,4,
mp-aaaabhkq,True,42,
mp-aaaabhks,True,12,
mp-aaaabhlu,True,20,
mp-aaaabhww,True,2,
mp-aaaabiad,True,6,
mp-aaaabifj,True,14,
mp-aaaabiiq,True,8,
mp-aaaabiit,True,8,
mp-aaaabikg,True,21,
mp-aaaabirb,True,38,
mp-aaaabiyn,True,72,
mp-aaaabizd,True,16,
mp-aaaabjbd,True,50,
mp-aaaabjid,True,16,
mp-aaaabjjb,True,36,
mp-aaaabjsf,True,62,
mp-aaaabkao,True,46,
mp-aaaabkjd,True,46,
mp-aaaablhc,True,12,
mp-aaaablhd,True,22,
mp-aaaablhe,True,22,
mp-aaaablhf,True,3,
mp-aaaablhh,True,14,
mp-aaaablhi,True,18,
mp-aaaablhj,True,28,
mp-aaaablhl,True,23,
mp-aaaablhm,True,3,
mp-aaaablhn,True,21,
mp-aaaablhq,True,3,
mp-aaaablhr,True,12,
mp-aaaablht,True,12,
mp-aaaablhu,True,6,
mp-aaaablhz,True,36,
mp-aaaablic,True,4,
mp-aaaablid,True,3,
mp-aaaablif,True,22,
mp-aaaablij,True,8,
mp-aaaablil,True,36,
mp-aaaablim,True,13,
mp-aaaablin,True,14,
mp-aaaablio,True,6,
mp-aaaabliq,True,3,
mp-aaaablir,True,52,
mp-aaaablis,True,18,
mp-aaaablit,True,36,
mp-aaaabliu,True,18,
mp-aaaablix,True,34,
mp-aaaablja,True,20,
mp-aaaabljb,True,14,
mp-aaaabljc,True,26,
mp-aaaablje,True,20,
mp-aaaabljn,True,30,
mp-aaaabljo,True,10,
mp-aaaabljp,True,36,
mp-aaaabljq,True,12,
mp-aaaabljt,True,28,
mp-aaaablju,True,60,
mp-aaaabljw,True,24,
mp-aaaabljx,True,30,
mp-aaaabljy,True,30,
mp-aaaablkb,True,12,
mp-aaaablkc,True,11,
mp-aaaablkd,True,12,
mp-aaaablkf,True,34,
mp-aaaablkg,True,34,
mp-aaaablkh,True,14,
mp-aaaablki,True,28,
mp-aaaablkl,True,12,
mp-aaaablkm,True,20,
mp-aaaablkn,True,18,
mp-aaaablkq,True,28,
mp-aaaablkr,True,12,
mp-aaaablks,True,11,
mp-aaaablkt,True,12,
mp-aaaablku,True,11,
mp-aaaablkw,True,20,
mp-aaaablky,True,15,
mp-aaaabllc,True,34,
mp-aaaablld,True,18,
mp-aaaablle,True,3,
mp-aaaabllf,True,12,
mp-aaaabllg,True,12,
mp-aaaabllh,True,11,
mp-aaaabllm,True,52,
mp-aaaablls,True,4,
mp-aaaabllx,True,12,
mp-aaaabllz,True,36,
mp-aaaablmi,True,6,
mp-aaaablmz,True,3,
mp-aaaablnj,True,44,
mp-aaaablnw,True,4,
mp-aaaablnx,True,4,
mp-aaaablnz,True,3,
mp-aaaabloc,True,3,
mp-aaaabloe,True,14,
mp-aaaablog,True,14,
mp-aaaabloh,True,56,
mp-aaaabloj,True,14,
mp-aaaablok,True,14,
mp-aaaablol,True,14,
mp-aaaablom,True,14,
mp-aaaabloo,True,18,
mp-aaaablop,True,18,
mp-aaaablor,True,36,
mp-aaaablos,True,48,
mp-aaaablot,True,18,
mp-aaaablou,True,24,
mp-aaaablov,True,36,
mp-aaaablow,True,24,
mp-aaaabloy,True,24,
mp-aaaabloz,True,18,
mp-aaaablpa,True,48,
mp-aaaablpb,True,36,
mp-aaaablpd,True,16,
mp-aaaablpe,True,22,
mp-aaaablpf,True,16,
mp-aaaablpg,True,22,
mp-aaaablpi,True,16,
mp-aaaablpj,True,4,
mp-aaaablpk,True,22,
mp-aaaablpl,True,16,
mp-aaaablpm,True,22,
mp-aaaablpo,True,16,
mp-aaaablpp,True,4,
mp-aaaablpq,True,22,
mp-aaaablps,True,16,
mp-aaaablpt,True,44,
mp-aaaablpu,True,28,
mp-aaaablpv,True,32,
mp-aaaablpw,True,3,
mp-aaaablpy,True,14,
mp-aaaablpz,True,12,
mp-aaaablqa,True,12,
mp-aaaablqd,True,24,
mp-aaaablqe,True,14,
mp-aaaablqf,True,3,
