record_index,source_queried_working_ion,source_endpoint,mp_database_version,record_source_id,working_ion,battery_formula,formula_charge,formula_discharge,framework_formula,chemsys,elements,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,fracA_charge,fracA_discharge,num_steps,max_voltage_step,id_charge,id_discharge,material_ids,battery_type,thermo_type,last_updated,stability_worst
Li_000021,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li2-3MnBAsO7,Li2MnBAsO7,Li3MnBAsO7,MnBAsO7,As-B-Mn-O,As|B|Mn|O,3.519553073333331,97.99822858013364,302.8504861211508,344.90996658043167,1065.89835918819,0.016520414441825,0.079758656101186,0.09141464504121201,0.16666666666666602,0.23076923076923,1.0,0.0,mp-aaabryhi,mp-aaabrwph,mp-aaabryhi|mp-aaabrwph,insertion,,2025-09-19T09:44:46.302000Z,0.09141464504121201
Li_000022,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li2-3FeBAsO7,Li2FeBAsO7,Li3FeBAsO7,FeBAsO7,As-B-Fe-O,As|B|Fe|O,4.017984108333327,97.67431768552318,309.4101890882222,392.453856252733,1243.2052227128866,0.04286264073662,0.09249928586309501,0.091581478835162,0.16666666666666602,0.23076923076923,1.0,0.0,mp-aaacpanw,mp-aaabrwoz,mp-aaacpanw|mp-aaabrwoz,insertion,,2025-09-19T09:44:46.289000Z,0.09249928586309501
Li_000023,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5BiAsPbO5,BiAsPbO5,LiBi2As2(PbO5)2,BiAsPbO5,As-Bi-O-Pb,As|Bi|O|Pb,0.8994778333333261,23.323097680405844,157.9835744076621,20.978609368192974,142.10272321045824,0.111457927868642,0.011076319437499002,0.11103858446323502,0.0,0.058823529411764004,1.0,0.0,mp-aaabfogr,mp-aaacsgzh,mp-aaabfogr|mp-aaacsgzh|mp-aaacsisf|mp-aaacsiyg,insertion,,2025-09-19T09:44:16.149000Z,0.11103858446323502
Li_000024,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-2CrAsCO7,LiCrAsCO7,Li2CrAsCO7,CrAsCO7,As-C-Cr-O,As|C|Cr|O,4.493169558333339,101.21168290381378,305.2953596568236,454.761252571103,1371.7438163104682,0.011719696153955001,0.069573240673408,0.026140855555552,0.09090909090909001,0.16666666666666602,1.0,0.0,mp-aaabrtaa,mp-aaabrzto,mp-aaabrtaa|mp-aaabrzto,insertion,,2025-09-19T09:44:44.842000Z,0.069573240673408
Li_000025,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li2-3CuAsCO7,Li2CuAsCO7,Li3CuAsCO7,CuAsCO7,As-C-Cu-O,As|C|Cu|O,3.6428909483333363,94.60556124776389,313.17742757282434,344.63774273147413,1140.8712161273609,0.027541175514562,0.043560258055554,0.055162097307690006,0.16666666666666602,0.23076923076923,1.0,0.0,mp-aaabrvtt,mp-aaabrszd,mp-aaabrvtt|mp-aaabrszd,insertion,,2025-09-19T09:44:44.710000Z,0.055162097307690006
Li_000026,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-3FeAsCO7,LiFeAsCO7,Li3FeAsCO7,FeAsCO7,As-C-Fe-O,As|C|Fe|O,3.79779738333333,194.49826137136114,609.0945884148789,738.6649880990375,2313.217834084519,0.053430317392643006,0.06716367045454501,0.048485174615382,0.09090909090909001,0.23076923076923,2.0,1.523843235000001,mp-aaabrwkc,mp-aaabrwln,mp-aaabrwkc|mp-aaabrwox|mp-aaabrwln,insertion,,2025-09-19T09:44:46.189000Z,0.06716367045454501
Li_000027,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-3MnAsCO7,LiMnAsCO7,Li3MnAsCO7,MnAsCO7,As-C-Mn-O,As|C|Mn|O,3.629206873333335,195.14044608762313,589.8054189591389,708.205048206535,2140.5258804157547,0.016056593070193,0.043047958863630005,0.060420901153847004,0.09090909090909001,0.23076923076923,2.0,0.7339865600000051,mp-aaabrwkf,mp-aaabrwpe,mp-aaabrwkf|mp-aaabrwtr|mp-aaabrwpe,insertion,,2025-09-19T09:44:46.213000Z,0.060420901153847004
Li_000028,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-2VAsCO7,LiVAsCO7,Li2VAsCO7,VAsCO7,As-C-O-V,As|C|O|V,3.292125393333326,101.61637368404172,301.1517705734362,334.5338441836821,991.4293911521013,0.06826197366381301,0.048049886136371005,0.039084548958338,0.09090909090909001,0.16666666666666602,1.0,0.0,mp-aaabrauh,mp-aaabryfl,mp-aaabrauh|mp-aaabryfl,insertion,,2025-09-19T09:44:29.743000Z,0.048049886136371005
Li_000029,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1CoAsO4,CoAsO4,LiCoAsO4,CoAsO4,As-Co-O,As|Co|O,4.520946918333334,130.87082786709936,559.2803593714077,591.6600659454951,2528.4768171845253,0.047159454681764,0.11054996291666701,0.002541872619049,0.0,0.14285714285714202,1.0,0.0,mp-aaacrbnr,mp-aaaabdra,mp-aaacrbnr|mp-aaaabdra|mp-aaacvcxw,insertion,,2025-09-19T09:43:30.628000Z,0.11054996291666701
Li_000030,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1FeAs2O7,FeAs2O7,LiFeAs2O7,FeAs2O7,As-Fe-O,As|Fe|O,5.443386683333334,82.56135893835622,332.5608364689953,449.4134018029518,1810.2572286335237,0.014209346040159,0.08801943854166601,0.0,0.0,0.09090909090909001,1.0,0.0,mp-aaaabljo,mp-aaaabbyc,mp-aaaabljo|mp-aaaabbyc,insertion,,2025-09-19T09:43:28.004000Z,0.08801943854166601
