shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
58,Na2-3NiAsCO7,Na2NiAsCO7,Na3NiAsCO7,3.856678581551722,82.0644075153952,316.4960427723569,0.011813930942475,0.016718646132482,0.4542702500449147,61.0,31.0,False,False
59,Na1-3MoF6,NaMoF6,Na3MoF6,3.062632396551724,192.1943877809533,588.6207584533723,0.004545193011774,0.060765631499999,0.4395166087637233,67.0,30.25,False,False
60,Na0-1V2P2O9,V2P2O9,NaV2P2O9,4.149546079051721,81.0165494051057,336.1819049222564,0.027417805124064,0.035604401346162,0.4510224955205879,65.5,34.0,False,False
61,Na0-1Cr3O8,Cr3O8,NaCr3O8,4.337746056551726,87.30884356226281,378.7235918642971,0.006460504664538,0.046632533090909,0.4444450939974559,66.0,33.0,False,False
62,Na0-1CoPO4,CoPO4,NaCoPO4,3.877459321551722,151.51125369018754,587.4787229410055,0.170187742616709,0.086211365416667,0.4488528086297846,66.0,30.25,False,False
63,Na1-2CrAsCO7,NaCrAsCO7,Na2CrAsCO7,4.387437486551736,90.26993487974453,396.0536961999752,0.023560141988136,0.053284074405423,0.4441668809374606,66.0,28.0,False,False
64,Na2-3FeSiCO7,Na2FeSiCO7,Na3FeSiCO7,3.868105926551724,96.78898741754244,374.3900558547362,0.013881350875249,0.044322769618057,0.4322506869325772,69.0,30.0,False,False
65,Na1.5-2.5NiPCO7,Na3Ni2P2(CO7)2,Na5Ni2P2(CO7)2,4.112834931551735,98.84444186871173,406.5308733073724,0.021863361042883,0.040802623260869,0.4397452840199336,69.0,31.0,False,False
66,Na0-1Mn(PO3)3,Mn(PO3)3,NaMn(PO3)3,3.951715941551714,85.12630591473967,336.3949801286848,0.100132211014461,0.010715820064102,0.4497032440809037,68.0,31.0,False,False
67,Na1-2CoCSO7,NaCoCSO7,Na2CoCSO7,3.832828926551731,102.69387073607363,393.6080383367873,0.051936479759376,0.034266435833324,0.440926518371467,70.0,32.5,False,False
68,Na1-3VAsCO7,NaVAsCO7,Na3VAsCO7,2.443383406551728,168.11926327895614,410.7798182175028,0.020702201578926,0.050211779545454,0.4320828614060038,71.0,33.0,False,False
69,Na0-1CoO2,CoO2,NaCoO2,2.662275291551726,235.2621671087404,626.3326545305126,0.114361442571003,0.097365835000005,0.4294537669586489,69.5,33.0,False,False
70,Na0-1VPO5,VPO5,NaVPO5,3.337510494051724,144.9496306764634,483.77091349161833,0.073681226898314,0.027948760937499,0.4388722570074412,70.0,32.0,False,False
71,Na0-1VF3,VF3,NaVF3,2.128294121551722,204.70634645210808,435.6753137983518,0.236785261690798,0.009434196249999,0.4377915025598221,71.0,31.0,False,False
72,Na4-6Co2P(CO4)4,Na4Co2P(CO4)4,Na6Co2P(CO4)4,4.224462604051727,90.72761762293992,383.2754278028141,0.018675591204741,0.081551116898153,0.4332689164414194,73.0,33.0,False,False
73,Na4-6Mn2C4SO16,Na4Mn2C4SO16,Na6Mn2C4SO16,3.737696424051723,91.7995847827752,343.11897977201187,0.031714388718323,0.029121994876541,0.4341492565515582,75.0,33.0,False,False
74,Na0-1FePO4,FePO4,NaFePO4,3.014129111551721,154.2033123226646,464.7886927694456,0.196725160268021,0.026914668333333,0.4354451375004246,73.5,34.25,False,False
75,Na0-1FePO4,FePO4,NaFePO4,3.072423191551724,154.2033123226646,473.77783299424846,0.169555702732158,0.029870462083334,0.4290604592066167,75.0,34.0,False,False
76,Na0-1V2O5,V2O5,NaV2O5,3.266735261551719,130.82203996985868,427.36097095766576,0.113406136643222,0.00610912375,0.4273814338297684,75.0,34.25,False,False
77,Na0-3Mo4P5O24,Mo4P5O24,Na3Mo4P5O24,3.616627704885051,81.08689361220995,293.26110594098515,0.009389674813241,0.00705728628788,0.4314704467371686,76.0,33.0,False,False
79,Na0-1FePO4,FePO4,NaFePO4,3.003711521551725,154.2033123226646,463.1822658850268,0.177703947138865,0.024104718749999,0.4283326525449866,78.0,35.25,False,False
80,Na1-2V(PO4)2,NaV(PO4)2,Na2V(PO4)2,3.8704488865517312,93.4293021404477,361.6133384408011,0.032723501127793,0.031631231875004,0.4236692798508801,79.0,31.25,False,False
81,Na0.4-0.8NiO2,Na2(NiO2)5,Na4(NiO2)5,2.932746576551725,98.2783079305942,288.22537113274643,0.017526944036961,0.008296108725491,0.4142653060478674,81.0,31.25,False,False
82,Na0-1Co2P3O10,Co2P3O10,NaCo2P3O10,4.302846381551721,68.06354667567655,292.86698552901146,0.047130081865473,0.019505724666666,0.4188656690716377,82.0,37.0,False,False
83,Na0-1Rb2VF6,Rb2VF6,Rb2NaVF6,4.005764786551726,74.68562575079928,299.17304969413254,0.016347304551869,0.0,0.4206123043063242,82.0,35.0,False,False
84,Na2-3MnBPO7,Na2MnBPO7,Na3MnBPO7,3.668716216551733,96.51655586382483,354.0918536633354,0.035911391000941,0.069957487617182,0.4156744984666903,83.0,35.0,False,False
85,Na0-1MoP2O7,MoP2O7,NaMoP2O7,3.185216206551719,91.51226848872884,291.4863606886113,0.028667360470238,0.003237321999998,0.4204002646024027,85.0,33.0,False,False
86,Na0-8Fe7(PO4)8,Fe7(PO4)8,Na8Fe7(PO4)8,3.417543051551721,160.65577586427503,549.0480304966038,0.114182437857771,0.090302505354612,0.41223890725183,84.0,34.0,False,False
88,Na0-0.67MnPO4,MnPO4,Na2Mn3(PO4)3,3.672976751551715,108.13420055862515,397.17440469946064,0.078330807825624,0.024829921666668,0.4095767642154337,87.0,33.0,False,False
89,Na2-3CuPCO7,Na2CuPCO7,Na3CuPCO7,3.362398286551713,93.22397962611988,313.45614936039726,0.036124648692496,0.008190581250002,0.4070582874861547,89.0,33.25,False,False
90,Na2-3CrSiCO7,Na2CrSiCO7,Na3CrSiCO7,3.459963181551732,98.15328343360096,339.60674682867085,0.015113261158202,0.041646913356476,0.4022907506504456,90.0,36.0,False,False
91,Na0-1Mo2P3O13,Mo2P3O13,NaMo2P3O13,3.91118607405173,51.96268174858514,203.2357172254482,0.01029582987395,0.009237340555555,0.4041906248397515,90.0,29.0,False,False
