target,protocol,split_name,ad_flag,n_predictions,pct_within_config
max_delta_volume,P3,leave_chemical_system_out,borderline,127,6.231599607458293
max_delta_volume,P3,leave_chemical_system_out,in_domain,1893,92.88518155053974
max_delta_volume,P3,leave_chemical_system_out,out_of_domain,18,0.8832188420019627
max_delta_volume,P3,leave_family_out,borderline,494,15.432677288347392
max_delta_volume,P3,leave_family_out,in_domain,1159,36.20743517650734
max_delta_volume,P3,leave_family_out,out_of_domain,1548,48.35988753514527
max_delta_volume,P3,leave_working_ion_out,borderline,519,16.2136832239925
max_delta_volume,P3,leave_working_ion_out,in_domain,2467,77.06966572945954
max_delta_volume,P3,leave_working_ion_out,out_of_domain,215,6.716651046547954
max_delta_volume,P3,random_split,borderline,194,6.053042121684867
max_delta_volume,P3,random_split,in_domain,2901,90.51482059282371
max_delta_volume,P3,random_split,out_of_domain,110,3.43213728549142
stability_worst,P1,framework_groupkfold,borderline,246,7.685098406747891
stability_worst,P1,framework_groupkfold,in_domain,2860,89.34707903780068
stability_worst,P1,framework_groupkfold,out_of_domain,95,2.9678225554514213
stability_worst,P1,leave_chemical_system_out,borderline,188,9.224730127576056
stability_worst,P1,leave_chemical_system_out,in_domain,1833,89.94111874386654
stability_worst,P1,leave_chemical_system_out,out_of_domain,17,0.8341511285574092
stability_worst,P1,leave_family_out,borderline,697,21.77444548578569
stability_worst,P1,leave_family_out,in_domain,864,26.991565135895033
stability_worst,P1,leave_family_out,out_of_domain,1640,51.23398937831927
stability_worst,P1,leave_working_ion_out,borderline,645,20.149953139643863
stability_worst,P1,leave_working_ion_out,in_domain,2204,68.85348328647298
stability_worst,P1,leave_working_ion_out,out_of_domain,352,10.996563573883162
stability_worst,P1,random_split,borderline,169,5.273010920436818
stability_worst,P1,random_split,in_domain,2925,91.26365054602184
stability_worst,P1,random_split,out_of_domain,111,3.4633385335413416
stability_worst,P2,framework_groupkfold,borderline,239,7.46641674476726
stability_worst,P2,framework_groupkfold,in_domain,2874,89.78444236176195
stability_worst,P2,framework_groupkfold,out_of_domain,88,2.7491408934707904
stability_worst,P2,leave_chemical_system_out,borderline,118,5.789990186457311
stability_worst,P2,leave_chemical_system_out,in_domain,1909,93.6702649656526
stability_worst,P2,leave_chemical_system_out,out_of_domain,11,0.5397448478900884
stability_worst,P2,leave_family_out,borderline,596,18.619181505779444
stability_worst,P2,leave_family_out,in_domain,1125,35.14526710402999
stability_worst,P2,leave_family_out,out_of_domain,1480,46.235551390190565
stability_worst,P2,leave_working_ion_out,borderline,406,12.683536394876601
stability_worst,P2,leave_working_ion_out,in_domain,2631,82.19306466729147
stability_worst,P2,leave_working_ion_out,out_of_domain,164,5.123398937831928
stability_worst,P2,random_split,borderline,180,5.616224648985959
stability_worst,P2,random_split,in_domain,2916,90.98283931357254
stability_worst,P2,random_split,out_of_domain,109,3.4009360374414976
stability_worst,P3,framework_groupkfold,borderline,224,6.9978131833801935
stability_worst,P3,framework_groupkfold,in_domain,2879,89.94064354889098
stability_worst,P3,framework_groupkfold,out_of_domain,98,3.0615432677288346
stability_worst,P3,leave_chemical_system_out,borderline,120,5.888125613346418
stability_worst,P3,leave_chemical_system_out,in_domain,1904,93.42492639842983
stability_worst,P3,leave_chemical_system_out,out_of_domain,14,0.6869479882237488
stability_worst,P3,leave_family_out,borderline,555,17.338331771321464
stability_worst,P3,leave_family_out,in_domain,1140,35.61387066541706
stability_worst,P3,leave_family_out,out_of_domain,1506,47.04779756326148
stability_worst,P3,leave_working_ion_out,borderline,425,13.277100905966885
stability_worst,P3,leave_working_ion_out,in_domain,2599,81.19337706966573
stability_worst,P3,leave_working_ion_out,out_of_domain,177,5.5295220243673855
stability_worst,P3,random_split,borderline,188,5.865834633385336
stability_worst,P3,random_split,in_domain,2910,90.795631825273
stability_worst,P3,random_split,out_of_domain,107,3.3385335413416537
