config_key,target,protocol,split_name,status,n_folds_generated,n_ok_folds,n_fold_errors,n_rows,n_features,mask_used,seconds,error
stability_worst__P1__leave_working_ion_out,stability_worst,P1,leave_working_ion_out,OK,3,3,0,3201,73,mask_physics_plausible_all_targets,3.649186372756958,
stability_worst__P2__random_split,stability_worst,P2,random_split,OK,5,5,0,3201,93,mask_physics_plausible_all_targets,6.310288429260254,
stability_worst__P2__framework_groupkfold,stability_worst,P2,framework_groupkfold,OK,5,5,0,3201,93,mask_physics_plausible_all_targets,6.4162421226501465,
stability_worst__P2__leave_family_out,stability_worst,P2,leave_family_out,OK,10,10,0,3201,93,mask_physics_plausible_all_targets,11.725687742233276,
stability_worst__P2__leave_chemical_system_out,stability_worst,P2,leave_chemical_system_out,OK,75,75,0,3201,93,mask_physics_plausible_all_targets,80.89308094978333,
stability_worst__P2__leave_working_ion_out,stability_worst,P2,leave_working_ion_out,OK,3,3,0,3201,93,mask_physics_plausible_all_targets,3.729302883148194,
stability_worst__P3__random_split,stability_worst,P3,random_split,OK,5,5,0,3201,105,mask_physics_plausible_all_targets,6.37509036064148,
stability_worst__P3__framework_groupkfold,stability_worst,P3,framework_groupkfold,OK,5,5,0,3201,105,mask_physics_plausible_all_targets,6.486924171447754,
stability_worst__P3__leave_family_out,stability_worst,P3,leave_family_out,OK,10,10,0,3201,105,mask_physics_plausible_all_targets,11.67498779296875,
stability_worst__P3__leave_chemical_system_out,stability_worst,P3,leave_chemical_system_out,OK,75,75,0,3201,105,mask_physics_plausible_all_targets,80.18510603904724,
stability_worst__P3__leave_working_ion_out,stability_worst,P3,leave_working_ion_out,OK,3,3,0,3201,105,mask_physics_plausible_all_targets,3.86721134185791,
