target,protocol,split_name,n_predictions,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,mean_tree_pred_std,median_tree_pred_std,median_domain_distance_percentile
capacity_grav,P3,leave_family_out,3201,0.2476983951425626,-0.021263383812366567,-0.021283309608373668,58.80201514827822,54.31180959092446,95.43773119605426
capacity_grav,P3,leave_working_ion_out,3201,0.3783514469635016,0.133772258303298,0.09367611485567873,51.425697214524504,48.78899566850541,75.11520737327189
capacity_grav,P3,random_split,3205,0.5456700516333158,0.2928185290336467,0.29291751174516006,47.18013346598047,43.20261135348393,50.1953125
energy_grav,P1,framework_groupkfold,3201,0.34717996984746163,-0.14004638778652373,-0.13887131942361305,176.10604655986938,169.03578223182106,60.64453125
energy_grav,P1,leave_chemical_system_out,2038,0.24697566626859818,0.1136066661358244,0.1137180273307404,219.33684200908675,210.28299153783541,77.71278741427996
energy_grav,P1,leave_family_out,3201,0.2524546867717757,-0.14631773742392853,-0.1458664075494771,207.5382542485249,202.0708793922836,97.34895191122072
energy_grav,P1,leave_working_ion_out,3201,0.3365662634609804,-0.011102294515659339,-0.08909823523518821,179.1995078021403,175.04594830785038,87.43875278396438
energy_grav,P1,random_split,3205,0.36853575097630153,-0.0405669373912213,-0.04142932520658734,136.19435205024172,132.40731257355603,50.634765625
energy_grav,P2,framework_groupkfold,3201,0.44308534065405975,0.07898927521274021,0.07821097812894975,185.86339020872123,176.6358169638513,56.93359375
energy_grav,P2,leave_chemical_system_out,2038,0.3954751825010313,0.2516501638240153,0.2517888472410308,210.37156765037818,196.00054292281266,68.54271135743821
energy_grav,P2,leave_family_out,3201,0.3567037157769333,-0.1344157551313714,-0.12637349872238093,221.1430787407805,209.05702649650303,95.88045234248789
energy_grav,P2,leave_working_ion_out,3201,0.40716677117662414,0.04547374474078424,-0.007780073032891087,207.4184447018443,199.2255551905096,79.72350230414746
energy_grav,P2,random_split,3205,0.5161371404894383,0.20709588935051443,0.20769567456525592,175.28942707678297,166.61768575540492,49.365234375
energy_grav,P3,framework_groupkfold,3201,0.417524013371446,0.11597165467985976,0.116056805046397,188.5896356738268,177.20714659571968,54.638671875
energy_grav,P3,leave_chemical_system_out,2038,0.3846992566745086,0.26650710593634486,0.265272064508121,206.31665169604256,193.97600458595696,61.36363043117427
energy_grav,P3,leave_family_out,3201,0.33857697011064425,-0.10707846716877396,-0.10658285597282693,221.86055857232898,208.7966171041896,95.62268803945746
energy_grav,P3,leave_working_ion_out,3201,0.3851784981504648,0.10023180619598693,0.058607978132032744,204.60746363095285,192.30512876239032,75.81291759465479
energy_grav,P3,random_split,3205,0.48308958053121914,0.22864928169992285,0.22885395697507838,177.85628607864876,169.10607150620407,50.048828125
