target,protocol,split_name,knn_distance_p50,knn_distance_p90,knn_distance_p97,knn_distance_p99
energy_grav,P2,leave_working_ion_out,6.272153405596088,9.595439131273306,12.33255625004644,19.068160656326164
energy_grav,P2,random_split,3.0218584188500737,6.437549140905596,10.902628320527947,16.857734287835143
energy_grav,P3,framework_groupkfold,4.584634834319821,8.360166188513043,12.073581621979637,19.358692906303165
energy_grav,P3,leave_chemical_system_out,4.8388036781324715,6.961296054939489,9.214963713431295,11.14844085598404
energy_grav,P3,leave_family_out,10.8101822851875,17.86064031925842,23.787523161905032,31.00428226728159
energy_grav,P3,leave_working_ion_out,7.253942066197817,10.524131670848485,13.899008611258234,22.30230532286106
energy_grav,P3,random_split,4.382116713550984,8.113624221081098,12.486666380064115,19.223341958040187
max_delta_volume,P1,framework_groupkfold,1.7740027567004657,4.982444755885432,8.13000232854241,12.078091269443732
max_delta_volume,P1,leave_chemical_system_out,2.9077004972085128,4.543174068458532,5.228887561896865,6.843953629508772
max_delta_volume,P1,leave_family_out,8.151447541976399,15.104269300762123,21.558486045625205,27.94252911187403
max_delta_volume,P1,leave_working_ion_out,5.4880350823828685,8.546302850415458,10.379004708139371,15.591763082426436
max_delta_volume,P1,random_split,1.3435574006389168,4.603611585491878,8.502614501803547,12.417322260194172
max_delta_volume,P2,framework_groupkfold,2.5011893636977893,5.4898521628988535,8.510072226429868,13.58641494552194
max_delta_volume,P2,leave_chemical_system_out,3.2668893095217006,4.97110170128634,5.982831529924035,7.569727940804605
max_delta_volume,P2,leave_family_out,8.506022028235794,15.329776710211153,21.855970030231624,28.11257683981457
max_delta_volume,P2,leave_working_ion_out,5.786734425511468,8.795803463421814,10.799246671327422,15.741673145451196
max_delta_volume,P2,random_split,2.148212522582267,5.08526049102505,8.856112772380024,13.587651855997738
max_delta_volume,P3,framework_groupkfold,4.101124631598066,7.475960055680471,10.690059427123847,17.06591778238333
max_delta_volume,P3,leave_chemical_system_out,4.439308242679056,6.54080777476501,8.318506016657148,9.890482570694589
max_delta_volume,P3,leave_family_out,10.136244770935615,16.544406775865937,23.19874315190627,29.444813883738856
max_delta_volume,P3,leave_working_ion_out,6.949761795043912,9.9529600977278,12.55581653364321,19.56278235897072
max_delta_volume,P3,random_split,3.8598858306372223,7.2507344730185554,11.237390213231034,16.029674888419745
stability_worst,P1,framework_groupkfold,1.7740027567004657,4.982444755885432,8.13000232854241,12.078091269443732
stability_worst,P1,leave_chemical_system_out,2.9077004972085128,4.543174068458532,5.228887561896865,6.843953629508772
stability_worst,P1,leave_family_out,8.151447541976399,15.104269300762123,21.558486045625205,27.94252911187403
stability_worst,P1,leave_working_ion_out,5.4880350823828685,8.546302850415458,10.379004708139371,15.591763082426436
stability_worst,P1,random_split,1.3435574006389168,4.603611585491878,8.502614501803547,12.417322260194172
stability_worst,P2,framework_groupkfold,3.3209862969741133,6.727495461555892,10.739074453636643,17.268039168320257
stability_worst,P2,leave_chemical_system_out,3.8264758536281485,5.7050598573495455,7.714040104228755,9.643412066167656
stability_worst,P2,leave_family_out,9.580601251485408,17.10530968628762,22.704194114325347,30.236847592991037
stability_worst,P2,leave_working_ion_out,6.272153405596088,9.595439131273306,12.33255625004644,19.068160656326164
stability_worst,P2,random_split,3.0218584188500737,6.437549140905596,10.902628320527947,16.857734287835143
stability_worst,P3,framework_groupkfold,4.429624722196016,7.840765302991467,11.62037772361112,17.70790961451606
stability_worst,P3,leave_chemical_system_out,4.761414121563145,6.762195091356407,8.781605606412546,10.419961440306546
stability_worst,P3,leave_family_out,10.628470785054857,17.947036803428343,23.43005208534064,30.728194387780537
stability_worst,P3,leave_working_ion_out,7.059237289586832,10.239482431486618,13.19945693755824,20.051005369284177
stability_worst,P3,random_split,4.129752111851052,7.519939658937679,11.647616787240253,17.755961904948713
