target,protocol,split_name,n_predictions,conformal_coverage,median_conformal_width,pct_in_domain,pct_borderline,pct_out_of_domain,nominal_coverage,coverage_gap_vs_nominal
max_delta_volume,P1,random_split,3205,0.953198127925117,0.2368721094283786,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.95,0.003198127925117089
max_delta_volume,P2,framework_groupkfold,3201,0.9547016557325836,0.2317251216679342,0.8940955951265229,0.07778819119025304,0.028116213683223992,0.95,0.004701655732583632
max_delta_volume,P2,leave_chemical_system_out,2038,0.964180569185476,0.2240393545322008,0.9018645731108931,0.08930323846908735,0.008832188420019628,0.95,0.014180569185476055
max_delta_volume,P2,leave_family_out,3201,0.9481412058731646,0.2251454748887872,0.2911590128084973,0.1958762886597938,0.5129646985317089,0.95,-0.001858794126835317
max_delta_volume,P2,leave_working_ion_out,3201,0.9753202124336144,0.4253765091880107,0.7125898156825992,0.1802561699468916,0.10715401437050921,0.95,0.025320212433614486
max_delta_volume,P2,random_split,3205,0.9553822152886116,0.2390689965036468,0.9129485179407176,0.05366614664586584,0.03338533541341654,0.95,0.005382215288611603
max_delta_volume,P3,framework_groupkfold,3201,0.9537644486098095,0.2231180804984671,0.8959700093720713,0.07372696032489846,0.030303030303030304,0.95,0.003764448609809512
max_delta_volume,P3,leave_chemical_system_out,2038,0.957801766437684,0.2023300354980825,0.9288518155053974,0.06231599607458292,0.008832188420019628,0.95,0.007801766437684043
max_delta_volume,P3,leave_family_out,3201,0.9450171821305842,0.2042848885330076,0.3620743517650734,0.1543267728834739,0.4835988753514527,0.95,-0.00498281786941579
max_delta_volume,P3,leave_working_ion_out,3201,0.9593876913464542,0.3514326938091694,0.7706966572945955,0.16213683223992503,0.06716651046547954,0.95,0.00938769134645423
max_delta_volume,P3,random_split,3205,0.953198127925117,0.2066316886839934,0.9051482059282371,0.06053042121684867,0.0343213728549142,0.95,0.003198127925117089
stability_worst,P1,framework_groupkfold,3201,0.9522024367385192,0.299402409523657,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.95,0.0022024367385192756
stability_worst,P1,leave_chemical_system_out,2038,0.971540726202159,0.2734399513950016,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.95,0.021540726202159077
stability_worst,P1,leave_family_out,3201,0.9422055607622618,0.2739071770168566,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.95,-0.007794439237738149
stability_worst,P1,leave_working_ion_out,3201,0.9768822243049047,0.4558182621531098,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.95,0.026882224304904723
stability_worst,P1,random_split,3205,0.9435257410296412,0.2411059449287113,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.95,-0.006474258970358804
stability_worst,P2,framework_groupkfold,3201,0.9550140581068416,0.2328271694459368,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.95,0.0050140581068416346
stability_worst,P2,leave_chemical_system_out,2038,0.9622178606476938,0.2297633030989372,0.936702649656526,0.05789990186457311,0.005397448478900883,0.95,0.012217860647693812
stability_worst,P2,leave_family_out,3201,0.901280849734458,0.2270616114721394,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.95,-0.048719150265541966
stability_worst,P2,leave_working_ion_out,3201,0.9653233364573571,0.2968727635780229,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.95,0.015323336457357173
stability_worst,P2,random_split,3205,0.9510140405616224,0.2364899107837643,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.95,0.0010140405616224646
stability_worst,P3,framework_groupkfold,3201,0.9534520462355514,0.2299664996209585,0.8994064354889098,0.06997813183380194,0.03061543267728835,0.95,0.003452046235551398
stability_worst,P3,leave_chemical_system_out,2038,0.9597644749754661,0.2161883822312352,0.9342492639842983,0.058881256133464184,0.0068694798822374874,0.95,0.009764474975466175
stability_worst,P3,leave_family_out,3201,0.8834739144017495,0.2243738349525864,0.3561387066541706,0.1733833177132146,0.4704779756326148,0.95,-0.06652608559825046
stability_worst,P3,leave_working_ion_out,3201,0.9656357388316151,0.3133423236072672,0.8119337706966573,0.13277100905966885,0.05529522024367385,0.95,0.015635738831615176
stability_worst,P3,random_split,3205,0.9463338533541341,0.2131834513681262,0.9079563182527302,0.058658346333853355,0.03338533541341654,0.95,-0.003666146645865842
