protocol,split_name,fold_id,heldout_group,status,error,n_train,n_test,n_features,elapsed_seconds,timestamp_utc,imputer_fit_scope,x_scaler_fit_scope,y_scaler_fit_scope,outer_test_used_for_fit_or_early_stopping,pass
P1,leave_chemical_system_out,52,Fe-Ni-O,OK,,3189,12,73,9.386094808578491,2026-07-11T16:42:48.540257+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,53,Fe-O-Ti,OK,,3190,11,73,13.50734257698059,2026-07-11T16:43:02.058639+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,54,O-W,OK,,3190,11,73,13.610267639160156,2026-07-11T16:43:15.684533+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,55,Nb-O-P,OK,,3190,11,73,10.563141584396362,2026-07-11T16:43:26.247674+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,56,F-Fe,OK,,3191,10,73,14.11541986465454,2026-07-11T16:43:40.363094+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,57,Mg-Mn-O,OK,,3191,10,73,7.101035118103027,2026-07-11T16:43:47.479765+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,58,B-Fe-O,OK,,3192,9,73,8.826503992080688,2026-07-11T16:43:56.321908+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,59,Mn-Ni-O-P,OK,,3192,9,73,12.154706954956056,2026-07-11T16:44:08.476615+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,60,C-Co-O,OK,,3193,8,73,8.714115619659424,2026-07-11T16:44:17.206367+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,61,C-Cu-O,OK,,3193,8,73,6.80719804763794,2026-07-11T16:44:24.013565+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
