target,protocol,split_name,fold_id,heldout_group,model_name,n_train,n_fit,n_calibration,n_test,n_features,calibration_mode,fit_predict_seconds,rmse,mae,r2,spearman,mean_tree_pred_std,median_tree_pred_std,conformal_qhat,conformal_coverage,median_conformal_width,mean_knn_distance,median_knn_distance,pct_in_domain,pct_borderline,pct_out_of_domain,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,status,error
average_voltage,P1,leave_chemical_system_out,0,F-O-V,ExtraTrees_uncertainty,3048,2438,610,153,73,split_conformal_holdout_from_training_fold,1.1161036491394043,0.6812258349741049,0.5327150264353102,0.1977022469008792,0.5445711273967898,0.8826488082334376,0.885921888133753,1.5124840641927482,0.9738562091503268,3.0249681283854963,3.8953144291964232,3.749306379338304,0.8888888888888888,0.1111111111111111,0.0,-0.022088313548321,-0.0827921015240765,-0.0830365559245106,OK,
average_voltage,P1,leave_chemical_system_out,1,Mn-O-P,ExtraTrees_uncertainty,3083,2466,617,118,73,split_conformal_holdout_from_training_fold,1.1189017295837402,0.5946620077075909,0.476369683613746,-0.0017588355556077,0.5456173710132494,0.7530208088184186,0.7303005457096806,1.383212474039187,0.9915254237288136,2.766424948078374,2.355091336229142,2.374640600039223,1.0,0.0,0.0,0.0492874333948041,0.1080878971282604,0.1068176404058897,OK,
average_voltage,P1,leave_chemical_system_out,2,Fe-O-P,ExtraTrees_uncertainty,3099,2479,620,102,73,split_conformal_holdout_from_training_fold,1.105154037475586,0.6470099036288367,0.5394917634072978,0.4663843771537126,0.7007002005893411,0.6833362719307223,0.6920063037499078,1.4060607040113942,0.9803921568627452,2.8121214080227883,2.5093495970264392,2.475901583501153,1.0,0.0,0.0,0.162677071303892,0.1629500957592272,0.1630745866120392,OK,
average_voltage,P1,leave_chemical_system_out,3,Cr-O-P,ExtraTrees_uncertainty,3117,2493,624,84,73,split_conformal_holdout_from_training_fold,1.1131598949432373,0.8860165465473802,0.7785150674169278,0.2600090065444146,0.696087381088554,0.7737551534808029,0.7508509428080046,1.5274678898551692,0.9761904761904762,3.0549357797103385,2.427629975276881,2.472777420290017,1.0,0.0,0.0,0.0912004363222418,-0.3752380209600157,-0.3752380209600157,OK,
average_voltage,P1,leave_chemical_system_out,4,O-P-V,ExtraTrees_uncertainty,3119,2495,624,82,73,split_conformal_holdout_from_training_fold,1.10620379447937,0.5841017807793532,0.4551421444145067,0.4511295154364722,0.6057180127564256,0.9121186459792564,0.8935403947124471,1.5173208722319045,0.9634146341463414,3.0346417444638085,2.277561285816517,2.209062005377741,1.0,0.0,0.0,-0.1360216146774416,0.150821045753636,0.1492341300064766,OK,
average_voltage,P1,leave_chemical_system_out,5,Co-O-P,ExtraTrees_uncertainty,3125,2500,625,76,73,split_conformal_holdout_from_training_fold,1.109894037246704,0.4291573699261141,0.3462993859017589,0.1645841961071298,0.775409545290028,0.7116969767953782,0.6627767124998706,1.5043459940611763,1.0,3.0086919881223526,2.615624699247189,2.654546899469846,1.0,0.0,0.0,0.3873586571145138,-0.1481512916752712,-0.1481512916752712,OK,
average_voltage,P1,leave_chemical_system_out,6,Ni-O-P,ExtraTrees_uncertainty,3127,2501,626,74,73,split_conformal_holdout_from_training_fold,1.0822806358337402,0.6735379348784865,0.5944431295372452,-0.9153625797728322,0.7364077201879519,0.6317516102443739,0.6035414493363417,1.2827689101463131,0.9864864864864864,2.5655378202926262,2.925139873194801,2.953828707375645,0.9594594594594594,0.0405405405405405,0.0,0.3439578459993163,0.0202817239763043,0.021548415510077,OK,
average_voltage,P1,leave_chemical_system_out,7,F-V,ExtraTrees_uncertainty,3135,2508,627,66,73,split_conformal_holdout_from_training_fold,1.1118087768554688,0.8684988818063787,0.740451759379301,0.1034522250220061,0.1101797311411912,0.9279310286606696,0.9313859774645172,1.6144299047381638,0.9545454545454546,3.228859809476328,3.338539188418061,3.106847917870146,0.9545454545454546,0.0454545454545454,0.0,0.2103411853165555,0.1680086362652098,0.1680086362652098,OK,
average_voltage,P1,leave_chemical_system_out,8,Mo-O-P,ExtraTrees_uncertainty,3140,2512,628,61,73,split_conformal_holdout_from_training_fold,1.1067752838134766,0.8935673845075369,0.7650716393591008,-1.3649471876599528,0.467746741798591,0.9767901965643676,0.9569938677225812,1.4784000715309218,0.9672131147540984,2.956800143061844,2.991957340804006,2.733202951219144,0.9672131147540984,0.0327868852459016,0.0,0.2983174758786886,0.1478197429582872,0.1572532929072939,OK,
average_voltage,P1,leave_chemical_system_out,9,Mn-O,ExtraTrees_uncertainty,3151,2520,631,50,73,split_conformal_holdout_from_training_fold,1.0844879150390625,0.9516093198558738,0.7504838347591081,-0.1319378473519172,0.5191718897392161,0.7265205087891696,0.6761743225663309,1.275215809578253,0.8,2.550431619156506,3.384497566286326,2.9077004972085128,0.78,0.22,0.0,0.0997137314100858,0.2270791698498594,0.2270791698498594,OK,
