target,protocol,split_name,ad_flag,n_predictions,mae,median_absolute_error,rmse,median_tree_pred_std,median_knn_distance,conformal_coverage
capacity_grav,P2,leave_working_ion_out,in_domain,2631,41.303923470103975,31.16420064042063,56.04554241645835,50.77832611837385,6.042828679046418,0.9049790954009882
capacity_grav,P2,leave_working_ion_out,out_of_domain,164,51.01675425930311,25.568285342785202,96.02195533087122,60.8615331142945,13.070807177302882,0.8658536585365854
capacity_grav,P2,random_split,borderline,180,29.350800712405547,22.445877227359755,41.08052326595047,54.102374895235926,8.053923664777624,0.9444444444444444
capacity_grav,P2,random_split,in_domain,2916,23.925645210052508,16.59564683143254,34.4113565995283,43.48693890931307,2.8490309330140864,0.9567901234567902
capacity_grav,P2,random_split,out_of_domain,109,51.64003817842618,33.768589255683224,77.38935797310016,75.39029165274306,13.857549337298792,0.8256880733944955
capacity_grav,P3,framework_groupkfold,borderline,242,32.069962269099506,23.81761760609104,47.829358874690534,62.448446080619135,9.611354508665624,0.9214876033057852
capacity_grav,P3,framework_groupkfold,in_domain,2867,24.066322198212106,17.374784027006967,34.266317296934254,44.61310460739695,4.481495393450122,0.9522148587373561
capacity_grav,P3,framework_groupkfold,out_of_domain,92,59.14405816621216,29.722897168299827,104.28883533633169,83.7973279901882,16.412590327950184,0.7608695652173914
capacity_grav,P3,leave_chemical_system_out,borderline,117,48.07470994241247,35.465288894416034,68.2919464471156,73.79456896858731,9.298484670527849,0.7863247863247863
capacity_grav,P3,leave_chemical_system_out,in_domain,1904,26.434078214594322,19.74983555071819,37.35754494604996,48.30804571351139,4.864293134263764,0.9375
capacity_grav,P3,leave_chemical_system_out,out_of_domain,17,45.34483165407343,43.53066072897708,56.469628545748286,101.75446362514572,12.898805089495346,0.8235294117647058
capacity_grav,P3,leave_family_out,borderline,510,37.20585576954164,27.527652885977474,53.53495153900498,57.137340011249854,9.955562425787011,0.8215686274509804
capacity_grav,P3,leave_family_out,in_domain,1210,36.26272998684916,26.49681312226927,50.820075136942535,57.23043803705733,6.636813304376404,0.8206611570247934
capacity_grav,P3,leave_family_out,out_of_domain,1481,31.04650527123558,26.74054686493362,44.429912359925424,49.81322643155109,15.98886083284464,0.9486833220796759
capacity_grav,P3,leave_working_ion_out,borderline,404,41.21924560914103,29.213678823810426,61.592524167444395,53.32241104876053,10.448722184328336,0.8935643564356436
capacity_grav,P3,leave_working_ion_out,in_domain,2642,36.39762092121928,27.50094112764298,49.85060772170219,47.67229083856989,7.1030177417922715,0.9454958364875095
capacity_grav,P3,leave_working_ion_out,out_of_domain,155,57.70735385304462,33.1267445309399,102.49828248081877,66.06806204523444,14.996682344736817,0.8193548387096774
capacity_grav,P3,random_split,borderline,187,31.668789619768937,23.700831636704585,43.6419832390426,60.29095389990023,9.840306679884666,0.9037433155080213
capacity_grav,P3,random_split,in_domain,2906,21.33077056747703,14.83164600080319,30.645585287487513,42.04938315237831,4.267571443738793,0.9621472814865795
capacity_grav,P3,random_split,out_of_domain,112,49.67104986467367,33.46021347764227,75.52004399226895,82.33944308199113,16.109317231357615,0.8035714285714286
energy_grav,P1,framework_groupkfold,borderline,246,117.4249991089235,87.35502834722247,170.3596793707473,151.8215685843457,5.933393101418997,0.975609756097561
energy_grav,P1,framework_groupkfold,in_domain,2860,156.79010117760114,119.32721651610268,212.04100579387105,170.81150202428688,1.5775167773013847,0.9541958041958042
energy_grav,P1,framework_groupkfold,out_of_domain,95,157.55682502155588,111.10420635355904,220.53857052302504,162.32809028726535,10.297721396931776,0.9368421052631579
energy_grav,P1,leave_chemical_system_out,borderline,188,170.62618602411038,144.16878733318356,221.28189437236836,212.95420863501946,5.063447595406238,0.9627659574468085
energy_grav,P1,leave_chemical_system_out,in_domain,1833,175.5136500452317,130.99550965496996,235.7087154643128,210.9022016917824,2.763817121397968,0.9432624113475178
energy_grav,P1,leave_chemical_system_out,out_of_domain,17,239.34350265176127,195.03307045505304,309.8090102409539,177.42426807117295,7.980315167678286,0.8823529411764706
energy_grav,P1,leave_family_out,borderline,697,240.0228734839811,175.25811990619437,334.9198764618367,201.29487827183203,5.688072596096445,0.8464849354375896
energy_grav,P1,leave_family_out,in_domain,864,219.86871779079044,173.09383672837058,289.36399717780813,215.2176332243736,4.189284152817031,0.875
energy_grav,P1,leave_family_out,out_of_domain,1640,163.50238888077612,124.18597605412135,218.80459257554358,196.81971181268867,11.985237364653601,0.9469512195121951
energy_grav,P1,leave_working_ion_out,borderline,645,170.35331098351213,143.98471811146808,218.3162102256453,184.8839176026948,6.554876150845601,0.924031007751938
energy_grav,P1,leave_working_ion_out,in_domain,2204,179.04539604408853,138.36924633010636,242.24037310078182,172.97464494516493,4.958978472727351,0.9174228675136116
energy_grav,P1,leave_working_ion_out,out_of_domain,352,130.14609138553595,98.00256721864534,194.87825283777883,164.93982259862662,9.50555504629935,0.9545454545454546
energy_grav,P1,random_split,borderline,169,125.41323599408126,85.18897050697515,176.51162798200306,145.2840948357527,6.03189395260979,0.9704142011834319
energy_grav,P1,random_split,in_domain,2925,144.49124468530954,98.46323867325292,206.14179031681488,131.08557283798083,1.145586974649216,0.9620512820512821
energy_grav,P1,random_split,out_of_domain,111,143.5311871387717,95.26906188181148,220.36517831935154,145.82506073631345,9.978418782521166,0.954954954954955
energy_grav,P2,framework_groupkfold,borderline,239,118.63441581359696,79.98317806944218,178.22318937579666,177.5447530790589,8.052604165234378,0.9246861924686193
energy_grav,P2,framework_groupkfold,in_domain,2874,108.17867020882554,79.9396474310106,149.34180018622283,176.63120466211416,3.1088250557058323,0.9432846207376478
energy_grav,P2,framework_groupkfold,out_of_domain,88,131.09529295527923,93.21103185097641,193.2522489212944,172.57861172094653,14.157764293621398,0.8977272727272727
energy_grav,P2,leave_chemical_system_out,borderline,118,178.32313747290468,127.8411045043479,256.5689593105348,243.33573199164636,7.368586146224512,0.864406779661017
energy_grav,P2,leave_chemical_system_out,in_domain,1909,122.36346842654146,94.40076170923442,167.6948451928881,194.07936176418696,3.743320423900084,0.9308538501833421
energy_grav,P2,leave_chemical_system_out,out_of_domain,11,225.37765055505386,219.86232750385352,252.61796072846354,273.44672586566554,10.56181199146504,0.7272727272727273
energy_grav,P2,leave_family_out,borderline,596,177.32781726054046,114.43102514061862,267.6011768046279,212.2114012486407,8.259906850354145,0.8288590604026845
energy_grav,P2,leave_family_out,in_domain,1125,172.08869034613934,134.59081971275697,222.1906199830882,239.01467091678944,5.512792265150033,0.8177777777777778
energy_grav,P2,leave_family_out,out_of_domain,1480,132.52958324628298,101.8016825498042,180.61889435622123,191.35895560357204,14.715401822278144,0.9054054054054054
