target,protocol,split_name,bin_type,bin,n_predictions,mae,median_absolute_error,rmse,mean_tree_pred_std,median_knn_distance,conformal_coverage,median_conformal_width
max_delta_volume,P3,leave_family_out,tree_uncertainty_bin,Q3,640,0.031709500736350704,0.02781936476700115,0.04139604560461707,0.05019170197190811,8.206135384643149,0.9765625,0.2042848885330076
max_delta_volume,P3,leave_family_out,tree_uncertainty_bin,Q4,640,0.036868879558136836,0.0324092345335943,0.047730639557104076,0.060777552588982674,7.487495875263658,0.971875,0.2392247821527454
max_delta_volume,P3,leave_family_out,tree_uncertainty_bin,Q5_highest,640,0.07869304146699593,0.049901958839804694,0.15140013123588195,0.10580227762364289,13.085378889728268,0.803125,0.2042848885330076
max_delta_volume,P3,leave_family_out,domain_distance_bin,Q1_nearest,641,0.03315120266165559,0.0302020610343481,0.04220960921855885,0.04815117938818351,5.36446809839879,0.9797191887675507,0.2042848885330076
max_delta_volume,P3,leave_family_out,domain_distance_bin,Q2,640,0.037511065305168664,0.03054291283124335,0.05531625086449139,0.054517609377659905,6.88682345796233,0.95,0.2042848885330076
max_delta_volume,P3,leave_family_out,domain_distance_bin,Q3,640,0.038749608355168996,0.028631077592894752,0.056876893225781086,0.062018640595815765,10.141602095224155,0.9453125,0.2042848885330076
max_delta_volume,P3,leave_family_out,domain_distance_bin,Q4,640,0.03461193188024599,0.025444149756834948,0.052804088802817783,0.05117823550401539,13.537339240343943,0.953125,0.249929214132882
max_delta_volume,P3,leave_family_out,domain_distance_bin,Q5_farthest,640,0.05555079189994827,0.02975400795719075,0.13554142486728596,0.07594445203074589,16.547840013712964,0.896875,0.249929214132882
max_delta_volume,P3,leave_working_ion_out,tree_uncertainty_bin,Q1_lowest,641,0.028931649463011876,0.025842976985119,0.03520060269202046,0.04118615019508579,6.242622447485412,0.9937597503900156,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,tree_uncertainty_bin,Q2,640,0.03586619334243381,0.03310357903964495,0.04392167342343572,0.05588337345766377,6.868649490962102,0.9921875,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,tree_uncertainty_bin,Q3,640,0.04271706813633215,0.0390560537068476,0.05320460046587379,0.06808612399853117,6.805029558112177,0.9875,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,tree_uncertainty_bin,Q4,640,0.05941837178562552,0.0507934528848685,0.07599069520822829,0.08739208613786767,7.190540595598698,0.9546875,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,tree_uncertainty_bin,Q5_highest,640,0.1084197021212034,0.0953990617244296,0.1589354467902568,0.1268478682410637,7.636479073592614,0.86875,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,domain_distance_bin,Q1_nearest,641,0.041466251966584246,0.0364282813516543,0.0531301793646416,0.06091278004431885,5.249637286241395,0.9859594383775351,0.3514326938091694
max_delta_volume,P3,leave_working_ion_out,domain_distance_bin,Q2,640,0.042567603328156935,0.0353242598264292,0.05528314866709335,0.06839895044843312,6.236588872302982,0.98125,0.3514326938091694
