check,observed,expected,status,details
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PNG_WIDTH,3955,>=2400,PASS,
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PNG_HEIGHT,2524,>=1800,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PNG_WIDTH,3727,>=2400,PASS,
SUPPLEMENTARY_Figure_S10_voltage_convergence_PNG_HEIGHT,2409,>=1800,PASS,
LOCKED_SOURCE_HASH_VERIFICATION,0,0,PASS,
LOCKED_SOURCE_FILE_COUNT,15,15,PASS,
FIGURE_MANIFEST_HASH_VERIFICATION,0,0,PASS,
FIGURE_MANIFEST_ROW_COUNT,49,49,PASS,
SELECTED_VOLTAGE,3.203420972291968,3.203420972,PASS,
REFERENCE_VOLTAGE,3.2030616289296017,3.203061629,PASS,
VOLTAGE_DIFFERENCE,0.0003593433623665,0.000359343,PASS,
S6_OUT_OF_DOMAIN_PERCENT_SCALE,51.23398937831928,>1 and <=100,PASS,
MAIN_FIGURE_COUNT,6,6,PASS,
SUPPLEMENTARY_FIGURE_COUNT,10,10,PASS,
SOURCE_DATA_FILE_COUNT,17,17,PASS,
