record_index,working_ion,electrode_uid,framework_uid,coarse_family,chemsys,host_chemsys_no_working_ion,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets
Li_000070,Li,el_68b117d1ae8e68d6,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000071,Li,el_d07ee6278cdce42a,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000072,Li,el_ce68d0f6fd4caf41,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000073,Li,el_4b78d9728e2fa734,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000074,Li,el_64c54677d063b930,Li|Mn3(BO3)4,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000075,Li,el_ff951ba8333969ee,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000076,Li,el_3cc692cec84c56ca,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000077,Li,el_f4bc25d56ec13095,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000078,Li,el_3de25a3f955089c1,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000079,Li,el_d91289e5d547adbf,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000080,Li,el_c471b8ecd90766e4,Li|Mn(BO3)2,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000081,Li,el_a003c147679862cb,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000082,Li,el_a4224a064f92ee69,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000083,Li,el_df104b2bc3ba3de9,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000084,Li,el_3198ac708003d5bb,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000085,Li,el_cb0e1e0167fe72e8,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000086,Li,el_c95516f661ab1bc1,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000087,Li,el_07ba25b9ba2e35db,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000088,Li,el_8304441bb4ce3ebe,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000089,Li,el_825a2b0504e229f4,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000090,Li,el_ac097ac9bfd733a1,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000091,Li,el_dc6a5ca54db3f054,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000092,Li,el_59001b45cda23ed3,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000093,Li,el_c98a6b0bba0b5707,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000094,Li,el_f37ff95db5b6e395,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000095,Li,el_209973dbf2281ad6,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000096,Li,el_a1665486a4d01b68,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000097,Li,el_01ead53df345dc90,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000098,Li,el_f95b26358460e15b,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000099,Li,el_2965478e8d5fa199,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
