target,model_name,leaky_protocol,clean_protocol,hard_split,leaky_domain_penalty_mae,clean_domain_penalty_mae,leakage_domain_interaction_mae,interpretation
capacity_grav,Ridge,P0,P2,leave_working_ion_out,22.493833843479536,20.112565415759406,-2.38126842772013,no_masking_or_reverse
capacity_grav,Ridge,P0,P3,framework_groupkfold,0.025759866948352084,1.0499665730026955,1.0242067060543434,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P3,leave_family_out,19.55867631605254,56.726515302168906,37.167838986116365,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P3,leave_chemical_system_out,-0.5078149652328197,0.17782462981273284,0.6856395950455525,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P3,leave_working_ion_out,22.493833843479536,16.957979927418524,-5.535853916061011,no_masking_or_reverse
capacity_grav,ExtraTrees,P4,P1,framework_groupkfold,0.013933311803142279,1.8867388831687038,1.8728055713655616,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P1,leave_family_out,6.001673610496208,17.086842229077853,11.085168618581644,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P1,leave_chemical_system_out,-0.27884299372728905,7.068113787542472,7.346956781269761,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P1,leave_working_ion_out,0.9798937778033405,0.5611832707790967,-0.41871050702424384,no_masking_or_reverse
capacity_grav,ExtraTrees,P4,P2,framework_groupkfold,0.013933311803142279,1.6590789281179354,1.6451456163147933,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P2,leave_family_out,6.001673610496208,23.94071734451641,17.939043734020203,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P2,leave_chemical_system_out,-0.27884299372728905,1.2137013427422367,1.4925443364695257,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P2,leave_working_ion_out,0.9798937778033405,16.90996005191631,15.93006627411297,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P3,framework_groupkfold,0.013933311803142279,2.1148145471254054,2.1008812353222632,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P3,leave_family_out,6.001673610496208,20.376714619860643,14.375041009364434,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P3,leave_chemical_system_out,-0.27884299372728905,3.030171437516067,3.309014431243356,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P4,P3,leave_working_ion_out,0.9798937778033405,10.791588249686743,9.811694471883403,leakage_masks_domain_shift
capacity_grav,ExtraTrees,P0,P1,framework_groupkfold,0.46833213672937113,1.8867388831687038,1.4184067464393326,leakage_masks_domain_shift
