target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,ExtraTrees,leave_family_out,P0,P1,spearman_leaky_minus_clean,10,0.47436215021186534,0.468478516414662,0.20407966015372295,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P2,mae_clean_minus_leaky,10,0.4578504165556156,0.4367179662993984,0.23733438659655576,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P2,rmse_clean_minus_leaky,10,0.5355007373335103,0.5191747785114735,0.2663908658245283,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P2,r2_leaky_minus_clean,10,0.7992111362503287,0.6685341982157984,0.30850988954059116,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P2,spearman_leaky_minus_clean,10,0.47710621640316947,0.4593356245644521,0.1426552078337297,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P3,mae_clean_minus_leaky,10,0.29032955230570473,0.26654272389027533,0.1335105011342643,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P3,rmse_clean_minus_leaky,10,0.34408506715451226,0.3171910847910305,0.13913267253924363,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P3,r2_leaky_minus_clean,10,0.5164985055525477,0.39749846313450676,0.3264851882620418,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P3,spearman_leaky_minus_clean,10,0.20307450043647934,0.18833296163799573,0.19066181938024748,0.9
average_voltage,ExtraTrees,leave_family_out,P4,P1,mae_clean_minus_leaky,10,0.7957682430230092,0.6717251758145454,0.31872102881066755,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P1,rmse_clean_minus_leaky,10,0.97358788352849,0.8637240696179556,0.3610294941682925,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P1,r2_leaky_minus_clean,10,1.1123785148674774,0.8882520705146562,0.5412262678883963,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P1,spearman_leaky_minus_clean,10,0.5952073123557313,0.5442426211290271,0.19482950403242444,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P2,mae_clean_minus_leaky,10,0.8074590322327827,0.7063677081760572,0.30037869584976956,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P2,rmse_clean_minus_leaky,10,0.9795682354434367,0.8643401932527579,0.3400958712369953,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P2,r2_leaky_minus_clean,10,1.1357011242361978,0.8532237921904995,0.555983433009435,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P2,spearman_leaky_minus_clean,10,0.5979513785470355,0.5686335403726708,0.1565017354186807,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P3,mae_clean_minus_leaky,10,0.6399381679828718,0.584938658305675,0.24579775881892685,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P3,rmse_clean_minus_leaky,10,0.7881525652644388,0.7011170178215023,0.2841242610339225,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P3,r2_leaky_minus_clean,10,0.8529884935384171,0.5766838596200329,0.6885280240610658,1.0
average_voltage,ExtraTrees,leave_family_out,P4,P3,spearman_leaky_minus_clean,10,0.32391966258034544,0.2506380502957604,0.19875197027157182,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P1,mae_clean_minus_leaky,3,0.2903521195561895,0.27904250619822174,0.08309852603587134,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P1,rmse_clean_minus_leaky,3,0.3943029563279025,0.3680153095451742,0.08957066831477192,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P0,P1,r2_leaky_minus_clean,3,0.30668725655845125,0.30619082045808055,0.09559653703986311,1.0
