target,model_name,protocol,hard_split,random_mae,hard_split_mae,mae_delta_hard_minus_random,mae_ratio_hard_over_random
capacity_grav,Ridge,P3,leave_working_ion_out,26.737504947070693,43.69548487448922,16.957979927418524,1.6342394311282364
capacity_grav,Ridge,P4,framework_groupkfold,0.2662897119888466,0.2548087181254444,-0.011480993863402178,0.9568853269709381
capacity_grav,Ridge,P4,leave_family_out,0.2662897119888466,1.389660829955008,1.1233711179661614,5.218605028245376
capacity_grav,Ridge,P4,leave_chemical_system_out,0.2662897119888466,0.17440821237978305,-0.09188149960906355,0.6549566300446787
capacity_grav,Ridge,P4,leave_working_ion_out,0.2662897119888466,4.5088604036770805,4.2425706916882335,16.932161479321184
capacity_grav,ExtraTrees,P0,framework_groupkfold,2.8380403759716506,3.3063725127010217,0.46833213672937113,1.1650195468304534
capacity_grav,ExtraTrees,P0,leave_family_out,2.8380403759716506,16.76448843592771,13.926448059956059,5.907064810587167
capacity_grav,ExtraTrees,P0,leave_chemical_system_out,2.8380403759716506,2.6468864396945038,-0.19115393627714683,0.9326458009915726
capacity_grav,ExtraTrees,P0,leave_working_ion_out,2.8380403759716506,6.583696956605693,3.7456565806340425,2.3198038380097583
capacity_grav,ExtraTrees,P1,framework_groupkfold,38.70168119218609,40.5884200753548,1.8867388831687038,1.048750824900848
capacity_grav,ExtraTrees,P1,leave_family_out,38.70168119218609,55.788523421263946,17.086842229077853,1.441501291487247
capacity_grav,ExtraTrees,P1,leave_chemical_system_out,38.70168119218609,45.769794979728566,7.068113787542472,1.1826306653822969
capacity_grav,ExtraTrees,P1,leave_working_ion_out,38.70168119218609,39.26286446296519,0.5611832707790967,1.0145002297960224
capacity_grav,ExtraTrees,P2,framework_groupkfold,16.18683605728724,17.845914985405177,1.6590789281179354,1.1024955662889429
capacity_grav,ExtraTrees,P2,leave_family_out,16.18683605728724,40.12755340180365,23.94071734451641,2.4790238969362024
capacity_grav,ExtraTrees,P2,leave_chemical_system_out,16.18683605728724,17.400537400029478,1.2137013427422367,1.0749807645204286
capacity_grav,ExtraTrees,P2,leave_working_ion_out,16.18683605728724,33.09679610920355,16.90996005191631,2.0446735848852637
capacity_grav,ExtraTrees,P3,framework_groupkfold,17.036009859566455,19.15082440669186,2.1148145471254054,1.124137903450311
capacity_grav,ExtraTrees,P3,leave_family_out,17.036009859566455,37.4127244794271,20.376714619860643,2.1960966674610276
capacity_grav,ExtraTrees,P3,leave_chemical_system_out,17.036009859566455,20.066181297082522,3.030171437516067,1.1778686125738824
capacity_grav,ExtraTrees,P3,leave_working_ion_out,17.036009859566455,27.8275981092532,10.791588249686743,1.6334575019999065
capacity_grav,ExtraTrees,P4,framework_groupkfold,0.741560566855479,0.7554938786586213,0.013933311803142279,1.0187891757273788
capacity_grav,ExtraTrees,P4,leave_family_out,0.741560566855479,6.743234177351686,6.001673610496208,9.093301988731366
capacity_grav,ExtraTrees,P4,leave_chemical_system_out,0.741560566855479,0.46271757312818995,-0.27884299372728905,0.623978126412927
capacity_grav,ExtraTrees,P4,leave_working_ion_out,0.741560566855479,1.7214543446588195,0.9798937778033405,2.3213941269268026
energy_grav,Ridge,P0,framework_groupkfold,18.654418102699296,18.422587339796298,-0.2318307629029981,0.9875723401487687
