target,model_name,split_name,fold_id,heldout_group,leaky_protocol,clean_protocol,mae_clean_minus_leaky,rmse_clean_minus_leaky,r2_leaky_minus_clean,spearman_leaky_minus_clean
average_voltage,ExtraTrees,leave_chemical_system_out,69,H-Mn-O-S,P4,P1,0.3979102205841686,0.4720066843830636,3.2668226714032085,0.6216062656678651
average_voltage,ExtraTrees,leave_chemical_system_out,70,H-O-P-V,P4,P1,0.6537105382102554,0.6863411637823824,1.4780590953432282,0.8306550933295023
average_voltage,ExtraTrees,leave_chemical_system_out,71,Mn-O-S,P4,P1,0.6610427631842218,0.7224139890500645,3.939912357138725,0.3056349251705863
average_voltage,ExtraTrees,leave_chemical_system_out,72,S-V,P4,P1,0.2062219078367319,0.21422638519588227,0.6736666027310878,0.07417990022744836
average_voltage,ExtraTrees,leave_chemical_system_out,73,Co-O-Ti,P4,P1,0.3400541943699048,0.53936308759584,5.871898349113049,0.4954750208904869
average_voltage,ExtraTrees,leave_chemical_system_out,74,Mo-Se,P4,P1,0.2288717237408775,0.30591803920717864,0.991224305180479,1.1091089451179963
average_voltage,ExtraTrees,leave_family_out,0,polyanion_phosphate_like,P4,P1,0.6151337141703733,0.7825351064391922,0.6891867728953416,0.4522215092426842
average_voltage,ExtraTrees,leave_family_out,1,transition_metal_oxide_like,P4,P1,0.691850258977577,0.8872346674427664,0.8204884790972206,0.5728651823909805
average_voltage,ExtraTrees,leave_family_out,2,halide_or_fluoride_like,P4,P1,1.4157720803368048,1.6535949084377062,1.9385774942384115,0.785179897830754
average_voltage,ExtraTrees,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,P4,P1,0.6482134866509501,0.8402134717931448,1.135443536938585,0.7309686239121034
average_voltage,ExtraTrees,leave_family_out,4,silicate_like,P4,P1,0.6332870289799605,0.794390891101062,0.667607847636579,0.507022215986672
average_voltage,ExtraTrees,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,P4,P1,0.6516000926515138,0.7738389753775963,0.5523252096729047,0.31994367262712586
average_voltage,ExtraTrees,leave_family_out,6,other_or_unclear,P4,P1,0.797543077844652,0.8990900769137335,1.7998705621331896,0.5156200598670737
average_voltage,ExtraTrees,leave_family_out,7,sulfide_like,P4,P1,0.3299407285570084,0.4327519782874988,0.7241494114129279,0.4505703103026323
average_voltage,ExtraTrees,leave_family_out,8,oxide_like_other,P4,P1,1.210922279638185,1.4255817560092077,0.9560156619320919,0.6298397622708889
average_voltage,ExtraTrees,leave_family_out,9,organic_or_carbon_like,P4,P1,0.9634196824230674,1.2466470034829928,1.8401201727175227,0.9878418891263988
average_voltage,ExtraTrees,leave_working_ion_out,0,Li,P4,P1,0.6113757850115844,0.7979486533069214,0.5862395198726728,0.40040238043494036
average_voltage,ExtraTrees,leave_working_ion_out,1,Na,P4,P1,0.41851770888165063,0.5895685599311494,0.2685494874463179,0.14153387201928713
average_voltage,ExtraTrees,leave_working_ion_out,2,K,P4,P1,0.6006956343393073,0.7858249040272354,0.3580644095238117,0.1796469010653744
average_voltage,ExtraTrees,random_split,0,random_0,P4,P1,0.44613692134234173,0.6213453725440679,0.3282280831381128,0.20884361907441795
average_voltage,ExtraTrees,random_split,1,random_1,P4,P1,0.4201170148836767,0.6055442719099944,0.3349102547492272,0.2174740308320957
average_voltage,ExtraTrees,random_split,2,random_2,P4,P1,0.4584860486394278,0.672214939547141,0.3948882836998481,0.21946726301109043
average_voltage,ExtraTrees,random_split,3,random_3,P4,P1,0.4856956437277147,0.6836320712872735,0.41086646127356485,0.22890919290611955
average_voltage,ExtraTrees,random_split,4,random_4,P4,P1,0.45452771486022614,0.6482479584343765,0.34240173516385086,0.20223735361969541
average_voltage,Ridge,framework_groupkfold,0,K|AgAsF6|K|Ca9Co(PO4)7|K|CoF3|K|Cr2(PS4)3|K|CrO2|K|CrP2S7|K|Cs2CrF6|K|Cs2NiF6|K|Cu4(PO4)3|K|FeNi(CN)6|K|FeSe|K|Lu(NbCl3)6|K|Mn6P7O24|K|MnPCO7|K|Mo2P3O13|K|MoCl6|K|NaMoF6|K|NbO3|K|Ni3P3O11|K|NiH8(CO5)2,P4,P1,0.6767559577482153,0.8653220835730233,0.6727059550648855,0.446085889047071
average_voltage,Ridge,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,P4,P1,0.6300908711493167,0.8122258961322427,0.48423243567364627,0.3071968733411061
average_voltage,Ridge,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,P4,P1,0.6584301010070162,0.8433130708224412,0.5820188207699863,0.4017782508480391
average_voltage,Ridge,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,P4,P1,0.5931160873844575,0.7876435614662807,0.5375329809516329,0.36740465567153924
average_voltage,Ridge,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,P4,P1,0.6797884040790871,0.86070040038843,0.5411570076245655,0.3583068308335918
average_voltage,Ridge,leave_chemical_system_out,0,F-O-V,P4,P1,0.7897043210380228,0.9630573559499983,1.6068414517911007,0.678869956058378
average_voltage,Ridge,leave_chemical_system_out,1,Mn-O-P,P4,P1,0.4675919489173377,0.6104273667974447,1.0586681386439905,0.5374423522723883
average_voltage,Ridge,leave_chemical_system_out,2,Fe-O-P,P4,P1,0.6350200240397351,0.7396569443347003,0.6992021433561597,0.36139538464724497
average_voltage,Ridge,leave_chemical_system_out,3,Cr-O-P,P4,P1,0.8276302060683459,0.9255888726400692,0.8100358418367083,0.41834546618171375
average_voltage,Ridge,leave_chemical_system_out,4,O-P-V,P4,P1,0.5766427102553041,0.7290211644510094,0.8579156443963953,0.5846665304131573
average_voltage,Ridge,leave_chemical_system_out,5,Co-O-P,P4,P1,0.4709025235091999,0.5504166506431087,1.3781590900869687,0.28799951622252873
average_voltage,Ridge,leave_chemical_system_out,6,Ni-O-P,P4,P1,0.7958672927594133,0.8735189833999966,3.22848948032339,0.4793272513854989
average_voltage,Ridge,leave_chemical_system_out,7,F-V,P4,P1,0.7228578771510765,0.861384829488728,0.8848825181878556,0.5452359355408338
average_voltage,Ridge,leave_chemical_system_out,8,Mo-O-P,P4,P1,0.4154408724559869,0.5007872621284613,0.7459936204844037,0.5893131521521358
average_voltage,Ridge,leave_chemical_system_out,9,Mn-O,P4,P1,0.7856731797798987,1.0478072731885217,1.3765218959309429,0.8199435191097165
average_voltage,Ridge,leave_chemical_system_out,10,O-V,P4,P1,0.467578335430207,0.5410306049380063,1.0342582120487644,0.31773113897089567
average_voltage,Ridge,leave_chemical_system_out,11,F-Mn,P4,P1,0.37318855982879867,0.4908331857515883,1.0731721062136392,0.9736436687959582
average_voltage,Ridge,leave_chemical_system_out,12,Fe-O,P4,P1,0.7493422497374107,0.9299019465208398,1.4150893162665477,1.106205688075918
average_voltage,Ridge,leave_chemical_system_out,13,B-Mn-O,P4,P1,0.6692682833760033,0.7561855702051185,4.911705116923195,1.0037065167474333
average_voltage,Ridge,leave_chemical_system_out,14,Cu-O-P,P4,P1,0.4974586962069191,0.7740035476594478,1.014980544528756,0.6295400578135736
average_voltage,Ridge,leave_chemical_system_out,15,O-Ti,P4,P1,0.4975147247509425,0.6292108357228281,1.2300350820417394,0.493825000735861
average_voltage,Ridge,leave_chemical_system_out,16,Ni-O,P4,P1,0.7903717756091893,0.914540376732857,3.4166974736322846,0.9761704837916321
average_voltage,Ridge,leave_chemical_system_out,17,F-Fe-O,P4,P1,0.8661997234789832,0.9980993707496768,1.5711770997513859,1.1642102556249065
average_voltage,Ridge,leave_chemical_system_out,18,Co-O,P4,P1,1.1463159645037717,1.3452750373496876,2.9847800884998543,1.116347706081153
average_voltage,Ridge,leave_chemical_system_out,19,Cr-O,P4,P1,0.7231089123558749,0.8306326183166016,1.1872540539633136,0.9134828779740298
