protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P1,leave_chemical_system_out,22,O-P-Sb,0.0,0.0,9.656034469604492,16.692533493041992,0.0181521214544773,0.0268838964402675,7.0364990234375,0.0087317749857902,0.0
P1,leave_chemical_system_out,23,O-P-Sn,0.0357142857142857,0.0,7.743093967437744,22.61248588562012,0.0120624238625168,0.0064198202453553,14.869391918182377,-0.0056426036171615,-0.0357142857142857
P1,leave_chemical_system_out,24,Co-Mn-O,0.0,0.0,25.803178787231445,114.22406768798828,0.0097975051030516,0.0082894768565893,88.42088890075684,-0.0015080282464623,0.0
P1,leave_chemical_system_out,25,Bi-O-P,0.0,0.0769230769230769,4.691127300262451,8.280138969421387,0.0118371797725558,0.002941315062344,3.5890116691589355,-0.0088958647102118,0.0769230769230769
P1,leave_chemical_system_out,26,O-P-W,0.12,0.0,12.718942642211914,41.599700927734375,0.0077556609176099,0.0164918974041938,28.88075828552246,0.0087362364865839,-0.12
P1,leave_chemical_system_out,27,Cr-Mn-O,0.0,0.0,20.926483154296875,20.402488708496094,0.0080957598984241,0.0110922819003462,-0.5239944458007812,0.0029965220019220994,0.0
P1,leave_chemical_system_out,28,Co-Fe-O,0.0476190476190476,0.0,13.334100723266602,30.70056533813477,0.0097490549087524,0.0041848798282444,17.366464614868168,-0.005564175080508,-0.0476190476190476
P1,leave_chemical_system_out,29,O-P-Ti,0.65,0.35,31.897113800048828,70.30067443847656,0.0051521556451916,0.0082387812435626,38.403560638427734,0.0030866255983709994,-0.30000000000000004
P1,leave_chemical_system_out,30,Cr-O-V,0.0,0.0,23.438819885253903,16.225366592407227,0.0109340958297252,0.0132385212928056,-7.213453292846676,0.002304425463080401,0.0
P1,leave_chemical_system_out,31,Cu-O,0.0,0.3684210526315789,36.823612213134766,36.39815139770508,0.0075352834537625,0.0259092301130294,-0.4254608154296875,0.0183739466592669,0.3684210526315789
P1,leave_chemical_system_out,32,O-Ti-V,0.0,0.0526315789473684,25.85609436035156,35.186317443847656,0.009918313473463,0.0101993139833211,9.330223083496097,0.0002810005098581002,0.0526315789473684
