target,protocol,split_name,model_name,n_folds,n_train_min,n_train_median,n_train_max,n_test_min,n_test_median,n_test_max,median_n_features,total_fit_seconds,median_fit_seconds,rmse_mean,rmse_std,rmse_ci95_lower,rmse_ci95_upper,mae_mean,mae_std,mae_ci95_lower,mae_ci95_upper,r2_mean,r2_std,r2_ci95_lower,r2_ci95_upper,spearman_mean,spearman_std,spearman_ci95_lower,spearman_ci95_upper,top10_hit_rate_mean,top10_hit_rate_std,top10_hit_rate_ci95_lower,top10_hit_rate_ci95_upper,top20_hit_rate_mean,top20_hit_rate_std,top20_hit_rate_ci95_lower,top20_hit_rate_ci95_upper,top10pct_hit_rate_mean,top10pct_hit_rate_std,top10pct_hit_rate_ci95_lower,top10pct_hit_rate_ci95_upper
max_delta_volume,P0,framework_groupkfold,ExtraTrees,5,2560,2561.0,2561,640,640.0,641,266.0,14.267110586166382,2.8206491470336914,0.0420070726101322,0.02621006434388595,0.019032938267643816,0.06498120695262058,0.014619283032187161,0.001972723061885109,0.01289011502826176,0.016348451036112557,0.740904939073536,0.13663232217685867,0.6211414282315817,0.8606684499154904,0.8945844887823242,0.009024703288793498,0.886673987570365,0.9024949899942835,0.36,0.1140175425099138,0.2600592175335814,0.45994078246641856,0.5,0.03535533905932739,0.4690096789303499,0.5309903210696502,0.6572115384615385,0.058100270316692855,0.606284406117357,0.7081386708057199
max_delta_volume,P0,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,266.0,254.9287486076355,3.398833036422729,0.020665053442763794,0.019840742033311466,0.016174670803252904,0.025155436082274676,0.012728759947999798,0.013067054367907954,0.009771407144123563,0.015686112751876032,0.7467442098508847,0.38604641830516145,0.6593736804678398,0.8341147392339296,0.8805200273369057,0.13303490450472596,0.850411394069357,0.910628660604454,0.8986666666666667,0.13506088050002285,0.8680995118669057,0.9292338214664277,0.95,0.10000000000000014,0.9273678694477666,0.9726321305522333,0.6597498797498798,0.34273923268107315,0.5821806891557767,0.737319070343983
max_delta_volume,P0,leave_family_out,ExtraTrees,10,2027,3082.5,3191,10,118.5,1174,266.0,31.449938774108887,3.2934123277664185,0.0696630002426753,0.09241155900310584,0.012385722561611988,0.1269402779237386,0.03384572403541686,0.03200263573889181,0.014010284902950525,0.05368116316788319,0.5159628772665676,0.48382549244040857,0.21608473021837088,0.8158410243147642,0.79262805113724,0.19591527031365502,0.6711985085478908,0.9140575937265892,0.52,0.3047767853509989,0.33109739134793403,0.7089026086520658,0.62,0.29739610697593943,0.43567198319903244,0.8043280168009675,0.5064222007420238,0.2091272707215108,0.37680377546043864,0.636040626023609
max_delta_volume,P0,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,266.0,6.851341724395752,3.005105495452881,0.06403790565098447,0.020425063498236713,0.040924770469497024,0.08715104083247191,0.03958977788672023,0.012003096947725788,0.02600699502911806,0.0531725607443224,0.5920098334511626,0.18274386033477158,0.38521568821538044,0.7988039786869449,0.7909830022897517,0.10608689959059511,0.6709343742189509,0.9110316303605526,0.2333333333333333,0.05773502691896256,0.16799999999999998,0.29866666666666664,0.25,0.21794494717703367,0.003372075114488865,0.4966279248855111,0.3807644110275689,0.04906135068006121,0.32524626634456666,0.4362825557105713
max_delta_volume,P0,random_split,ExtraTrees,5,2560,2560.0,2560,641,641.0,641,266.0,13.915041208267212,2.707521438598633,0.031358043689442616,0.003187512546977397,0.028564065753646034,0.0341520216252392,0.01302237079207176,0.00035185222576822637,0.012713958718089637,0.013330782866053884,0.8652144802842348,0.05911988347549537,0.8133936176011897,0.9170353429672798,0.9092900987067521,0.011404793882569177,0.8992933561055592,0.9192868413079451,0.44000000000000006,0.08944271909999157,0.3616000000000001,0.5184000000000001,0.54,0.11937336386313323,0.4353646331300932,0.6446353668699069,0.6738461538461539,0.042690575155420366,0.6364262148520891,0.7112660928402185
max_delta_volume,P1,framework_groupkfold,DummyMean,5,2560,2561.0,2561,640,640.0,641,73.0,0.1030001640319822,0.0209996700286865,0.08023887633792748,0.027924805805629022,0.05576170483429951,0.10471604784155544,0.04544827674149824,0.0023198786538691295,0.04341481344461422,0.04748174003838225,-0.00313912753706942,0.002962622329388196,-0.005735980505776365,-0.0005422745683624748,,,,,0.0,0.0,0.0,0.0,0.02,0.027386127875258306,-0.0040049994792751425,0.04400499947927514,0.11817307692307692,0.05158773701023605,0.07295443171305126,0.1633917221331026
max_delta_volume,P1,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,73.0,62.75393605232239,0.8345415592193604,0.04657236963999091,0.028017923207341467,0.04023131668168091,0.05291342259830091,0.034390208527254565,0.01899224146678446,0.03009185964369651,0.03868855741081262,-0.30953551122072603,1.1511430713736261,-0.5700637139769935,-0.049007308464458554,0.25184070702150774,0.29453038015894917,0.18473332300718506,0.31894809103583044,0.6306666666666666,0.3110458962107514,0.5602703533588852,0.701062979974448,0.8373333333333333,0.25628496245777277,0.779330586044148,0.8953360806225186,0.16854016354016355,0.2794763046167136,0.1052887214167516,0.23179160566357543
max_delta_volume,P1,leave_family_out,DummyMean,10,2027,3082.5,3191,10,118.5,1174,73.0,0.2059967517852779,0.020998477935791002,0.10398830244803152,0.10725828692208761,0.037508927466108524,0.1704676774299545,0.062251320037490766,0.04328788715816392,0.03542120960832509,0.08908143046665645,-0.19656641175732312,0.22811291414496784,-0.3379522607470449,-0.05518056276760144,,,,,0.2,0.31269438398822863,0.006190012870566669,0.3938099871294334,0.31,0.3799122705748438,0.07452793513171602,0.5454720648682838,0.19644886383574664,0.2893057081368167,0.01713532818689789,0.3757623994845954
max_delta_volume,P1,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,73.0,2.0340018272399902,0.7710011005401611,0.11381154805373354,0.046737267198905814,0.060923351408721085,0.166699744698746,0.06768206909222263,0.023147645161767046,0.04148804272832843,0.09387609545611683,-0.20173358965399016,0.363788054926732,-0.6133985272762316,0.20993134796825122,0.36406135467705675,0.1746708414047132,0.1664026903600611,0.5617200189940523,0.06666666666666667,0.11547005383792516,-0.06400000000000004,0.19733333333333336,0.18333333333333335,0.11547005383792514,0.05266666666666667,0.31400000000000006,0.2263784461152882,0.08843387340345561,0.1263060977099541,0.32645079452062237
max_delta_volume,P1,random_split,Ridge,5,2560,2560.0,2560,641,641.0,641,73.0,0.2590510845184323,0.0519995689392089,0.07900508654203167,0.009888504547207808,0.07033743014358967,0.08767274294047367,0.042631579162374277,0.0013458919520233387,0.04145185285149741,0.043811305473251155,0.20060655698726776,0.0805634470864964,0.12998958206591932,0.2712235319086162,0.3712759637673654,0.03176037001230581,0.3434367720028452,0.39911515553188553,0.04,0.05477225575051661,-0.008009998958550285,0.08800999895855029,0.05,0.05,0.006173067641004122,0.09382693235899589,0.1815384615384615,0.04666384888647109,0.14063579456330605,0.22244112851361697
