target,protocol,model_name,split_name,random_rmse_mean,split_rmse_mean,rmse_delta_vs_random,rmse_ratio_vs_random,random_mae_mean,split_mae_mean,mae_delta_vs_random,random_r2_mean,split_r2_mean,r2_delta_vs_random,n_folds_split
average_voltage,P4,Ridge,framework_groupkfold,0.00169281330205526,0.0016820195397397202,-1.079376231553973e-05,0.9936237727442034,0.0010726576163726201,0.0011062218722938202,3.3564255921200064e-05,0.9999975833050753,0.9999976670642882,8.375921289882626e-08,5
average_voltage,P4,Ridge,leave_chemical_system_out,0.00169281330205526,0.0010403651082784519,-0.0006524481937768081,0.6145775833728003,0.0010726576163726201,0.0008060358117723401,-0.00026662180460028005,0.9999975833050753,0.9999957287775554,-1.8545275198844635e-06,75
average_voltage,P4,Ridge,leave_family_out,0.00169281330205526,0.0048630616522122,0.0031702483501569404,2.8727690444704757,0.0010726576163726201,0.0036711693876951097,0.0025985117713224898,0.9999975833050753,0.9999378658974644,-5.971740761090416e-05,10
average_voltage,P4,Ridge,leave_working_ion_out,0.00169281330205526,0.025385181513289366,0.023692368211234105,14.995854228265449,0.0010726576163726201,0.02242400952227973,0.02135135190590711,0.9999975833050753,0.998850891638384,-0.0011466916666912352,3
average_voltage,P4,Ridge,random_split,0.00169281330205526,0.00169281330205526,0.0,1.0,0.0010726576163726201,0.0010726576163726201,0.0,0.9999975833050753,0.9999975833050753,0.0,5
capacity_grav,P0,DummyMean,framework_groupkfold,76.31943811355585,75.9077208543779,-0.4117172591779479,0.9946053421074019,56.83498939697961,57.48965956896787,0.6546701719882648,-0.00113899109140654,-0.005310552713303178,-0.004171561621896638,5
capacity_grav,P0,DummyMean,leave_chemical_system_out,76.31943811355585,70.84896241964705,-5.470475693908796,0.9283213316407117,56.83498939697961,58.35260247343301,1.5176130764534008,-0.00113899109140654,-6.69185693351281e+27,-6.69185693351281e+27,75
capacity_grav,P0,DummyMean,leave_family_out,76.31943811355585,95.55978648444994,19.240348370894097,1.2521028567095362,56.83498939697961,71.24817498319496,14.413185586215349,-0.00113899109140654,-0.2079545047440737,-0.20681551365266718,10
capacity_grav,P0,DummyMean,leave_working_ion_out,76.31943811355585,72.4924164617663,-3.8270216517895506,0.9498552171453972,56.83498939697961,58.273335006766764,1.4383456097871559,-0.00113899109140654,-0.1651678607222322,-0.16402886963082566,3
capacity_grav,P0,DummyMean,random_split,76.31943811355585,76.31943811355585,0.0,1.0,56.83498939697961,56.83498939697961,0.0,-0.00113899109140654,-0.00113899109140654,0.0,5
