target,protocol,split_name,model_name,n_folds,n_train_median,n_test_median,median_n_features,rmse_mean,mae_mean,r2_mean,spearman_mean,top10_hit_rate_mean,top20_hit_rate_mean,top10pct_hit_rate_mean,total_fit_seconds
capacity_grav,P1,leave_family_out,Ridge,10,3082.5,118.5,73.0,111.08247313383579,89.19627734874646,-0.9540216612528901,0.4410975694201055,0.3,0.37,0.1587558562783323,0.5286827087402339
capacity_grav,P1,leave_working_ion_out,DummyMean,3,2807.0,394.0,73.0,72.4924164617663,58.273335006766764,-0.1651678607222322,,0.0,0.0,0.0137844611528822,0.0675916671752928
capacity_grav,P1,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,73.0,60.72251482290761,39.26286446296519,0.15735629180906996,0.6536731566358683,0.26666666666666666,0.38333333333333336,0.4427944862155388,1.8815913200378418
capacity_grav,P1,leave_working_ion_out,Ridge,3,2807.0,394.0,73.0,67.63588697738898,50.09868829861468,-0.010503785744330299,0.4616356124470378,0.10000000000000002,0.26666666666666666,0.27241019214703416,0.14352536201477029
capacity_grav,P1,random_split,DummyMean,5,2560.0,641.0,73.0,76.31943811355585,56.83498939697961,-0.00113899109140654,,0.0,0.01,0.08923076923076918,0.0851979255676267
capacity_grav,P1,random_split,ExtraTrees,5,2560.0,641.0,73.0,61.8746992985743,38.70168119218609,0.33895536404429893,0.6878303283645385,0.22000000000000003,0.25,0.3169230769230769,3.6240451335906982
capacity_grav,P1,random_split,Ridge,5,2560.0,641.0,73.0,65.27119345300629,47.15142306545331,0.2659305950289224,0.5398987615641373,0.2,0.27,0.3384615384615384,0.2651691436767577
capacity_grav,P2,framework_groupkfold,DummyMean,5,2561.0,640.0,93.0,75.9077208543779,57.48965956896787,-0.005310552713303178,,0.02,0.01,0.04673076923076922,0.1104898452758787
capacity_grav,P2,framework_groupkfold,ExtraTrees,5,2561.0,640.0,93.0,32.65574450382283,17.845914985405177,0.8109931252850127,0.9334465941926522,0.5,0.6599999999999999,0.7662980769230769,5.502139091491699
capacity_grav,P2,framework_groupkfold,Ridge,5,2561.0,640.0,93.0,51.48645480384893,33.57671029827729,0.5328507837741505,0.8320441883652208,0.45999999999999996,0.61,0.6447115384615385,0.3028631210327145
capacity_grav,P2,leave_chemical_system_out,DummyMean,75,3184.0,17.0,93.0,70.84896241964705,58.35260247343301,-6.69185693351281e+27,,0.6306666666666666,0.8246666666666667,0.19906613756613756,1.4045701026916462
capacity_grav,P2,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,93.0,23.859139961875982,17.400537400029478,-2.118396044992038e+25,0.8856144863426213,0.8946666666666666,0.95,0.72911544011544,96.13948822021484
capacity_grav,P2,leave_chemical_system_out,Ridge,75,3184.0,17.0,93.0,40.97690857563257,33.102270512403656,-2.0714902843262425e+27,0.7598311544126584,0.84,0.9239999999999999,0.6158701298701299,5.100134611129757
capacity_grav,P2,leave_family_out,DummyMean,10,3082.5,118.5,93.0,95.55978648444994,71.24817498319496,-0.2079545047440737,,0.19,0.29500000000000004,0.039316897791474036,0.2269201278686518
capacity_grav,P2,leave_family_out,ExtraTrees,10,3082.5,118.5,93.0,59.22395289789246,40.12755340180365,0.6303345141711898,0.8641947149906493,0.65,0.7,0.6712755792475763,12.084083557128906
capacity_grav,P2,leave_family_out,Ridge,10,3082.5,118.5,93.0,144.0626825404055,109.61594049189596,-2.0432727695793864,0.6978268543825891,0.5900000000000001,0.615,0.5380997361763759,0.6572189331054683
capacity_grav,P2,leave_working_ion_out,DummyMean,3,2807.0,394.0,93.0,72.4924164617663,58.273335006766764,-0.1651678607222322,,0.0,0.0,0.0137844611528822,0.0612418651580809
capacity_grav,P2,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,93.0,48.63923072582764,33.09679610920355,0.48309741209611623,0.7883653162832807,0.3666666666666667,0.5,0.5323517126148705,2.9339394569396973
capacity_grav,P2,leave_working_ion_out,Ridge,3,2807.0,394.0,93.0,74.24521243510138,53.356357023241095,-0.3331166048115915,0.4866680207610406,0.23333333333333336,0.3333333333333333,0.3869674185463659,0.1573779582977294
capacity_grav,P2,random_split,DummyMean,5,2560.0,641.0,93.0,76.31943811355585,56.83498939697961,-0.00113899109140654,,0.0,0.01,0.08923076923076918,0.1072936058044432
capacity_grav,P2,random_split,ExtraTrees,5,2560.0,641.0,93.0,31.200415161820427,16.18683605728724,0.8327589550840523,0.9422946152876509,0.6,0.6799999999999999,0.7353846153846153,5.46612548828125
capacity_grav,P2,random_split,Ridge,5,2560.0,641.0,93.0,50.0610455288292,33.24379160748169,0.5649085356361654,0.8301869078760606,0.4,0.6,0.6030769230769231,0.3228664398193357
capacity_grav,P3,framework_groupkfold,DummyMean,5,2561.0,640.0,112.0,75.9077208543779,57.48965956896787,-0.005310552713303178,,0.02,0.01,0.04673076923076922,0.1037564277648923
capacity_grav,P3,framework_groupkfold,ExtraTrees,5,2561.0,640.0,112.0,32.80505466161303,19.15082440669186,0.8110877167536044,0.9346364401099099,0.5599999999999999,0.6599999999999999,0.763076923076923,6.3268938064575195
capacity_grav,P3,framework_groupkfold,Ridge,5,2561.0,640.0,112.0,42.21606557379473,27.78747152007339,0.687752126535339,0.8736586938754562,0.48,0.5700000000000001,0.7445673076923077,0.33567643165588357
capacity_grav,P3,leave_chemical_system_out,DummyMean,75,3184.0,17.0,112.0,70.84896241964705,58.35260247343301,-6.69185693351281e+27,,0.6306666666666666,0.8246666666666667,0.19906613756613756,1.505609750747676
capacity_grav,P3,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,112.0,27.148678241661983,20.066181297082522,-1.3153050177956694e+26,0.8661470297519164,0.8786666666666667,0.9466666666666667,0.6127799422799424,116.16612577438354
capacity_grav,P3,leave_chemical_system_out,Ridge,75,3184.0,17.0,112.0,33.685228419585286,26.915329576883426,-3.8204314715528223e+27,0.8111216962302891,0.86,0.936,0.6197825877825878,5.642903327941891
capacity_grav,P3,leave_family_out,DummyMean,10,3082.5,118.5,112.0,95.55978648444994,71.24817498319496,-0.2079545047440737,,0.19,0.29500000000000004,0.039316897791474036,0.2103397846221917
capacity_grav,P3,leave_family_out,ExtraTrees,10,3082.5,118.5,112.0,56.083436414040534,37.4127244794271,0.661789081101331,0.869725723342928,0.5700000000000001,0.7150000000000001,0.5962427432552709,14.599475145339966
