protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,leave_family_out,2,halide_or_fluoride_like,softconstrained_direct,246,41.284210205078125,46.15135955810547,0.021774586290121,0.0239013377577066,0.4349593495934959,0.7926829268292683
P1,leave_family_out,2,halide_or_fluoride_like,softconstrained_hardderived,246,0.0,0.0,0.0,0.0,0.3983739837398374,0.6585365853658537
P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,unconstrained_direct,221,79.28851318359375,105.72100067138672,0.0254347901791334,0.0305070206522941,0.1085972850678733,0.1085972850678733
P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,unconstrained_hardderived,221,0.0,0.0,0.0,0.0,0.1085972850678733,0.1085972850678733
P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,softconstrained_direct,221,72.80280303955078,80.61863708496094,0.0126265827566385,0.0146585265174508,0.1493212669683258,0.171945701357466
P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,softconstrained_hardderived,221,0.0,0.0,0.0,0.0,0.1493212669683258,0.171945701357466
P1,leave_family_out,4,silicate_like,unconstrained_direct,131,41.852046966552734,53.3267936706543,0.0163269080221653,0.0182911921292543,0.1450381679389313,0.1755725190839694
P1,leave_family_out,4,silicate_like,unconstrained_hardderived,131,0.0,0.0,0.0,0.0,0.1374045801526717,0.1526717557251908
P1,leave_family_out,4,silicate_like,softconstrained_direct,131,37.27188873291016,42.43568420410156,0.006497370544821,0.0091040898114442,0.0610687022900763,0.0763358778625954
P1,leave_family_out,4,silicate_like,softconstrained_hardderived,131,0.0,0.0,0.0,0.0,0.0534351145038167,0.0687022900763358
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,unconstrained_direct,106,166.295654296875,208.09246826171875,0.0397057570517063,0.0499107278883457,0.0566037735849056,0.0943396226415094
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,unconstrained_hardderived,106,0.0,0.0,0.0,0.0,0.0566037735849056,0.0754716981132075
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,softconstrained_direct,106,37.88648986816406,52.286502838134766,0.0195744019001722,0.0218802411109209,0.6226415094339622,0.7547169811320755
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,softconstrained_hardderived,106,0.0,0.0,0.0,0.0,0.6132075471698113,0.7075471698113207
P1,leave_family_out,6,other_or_unclear,unconstrained_direct,63,65.53495025634766,77.70378112792969,0.0175659507513046,0.0242875069379806,0.6666666666666666,1.0
P1,leave_family_out,6,other_or_unclear,unconstrained_hardderived,63,0.0,0.0,0.0,0.0,0.3492063492063492,0.5079365079365079
P1,leave_family_out,6,other_or_unclear,softconstrained_direct,63,47.48740768432617,56.71748733520508,0.0083742653951048,0.0107841733843088,0.1428571428571428,0.1587301587301587
P1,leave_family_out,6,other_or_unclear,softconstrained_hardderived,63,0.0,0.0,0.0,0.0,0.1269841269841269,0.1428571428571428
