protocol,split_name,model_variant,target,target_unit,n_folds,n_test_min,n_test_median,n_features,rmse_mean,rmse_sd,rmse_ci95_low,rmse_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,r2_mean,r2_sd,r2_ci95_low,r2_ci95_high,spearman_mean,spearman_sd,spearman_ci95_low,spearman_ci95_high
P2,framework_groupkfold,unconstrained_direct,stability_discharge,eV/atom,5,640,640.0,77.0,0.08103596070161184,0.013448863504747853,0.06924751207905279,0.0928244093241709,0.03924232623198108,0.003234965504715755,0.03640675394480383,0.04207789851915833,-0.0017054715778266644,0.14325722090328535,-0.127275962187147,0.12386501903149369,0.3890946205735797,0.04526882208338027,0.34941474850518517,0.4287744926419742
P2,framework_groupkfold,unconstrained_direct,stability_worst,eV/atom,5,640,640.0,77.0,0.1072262212234955,0.013483604087926709,0.09540732113715461,0.11904512130983638,0.05137854927328448,0.004057697384033069,0.047821820697618644,0.05493527784895032,-0.005263171814963258,0.23138305176778798,-0.20807935899186095,0.19755301536193445,0.38182588594793787,0.07334798170428106,0.31753354529149,0.4461182266043857
P2,framework_groupkfold,unconstrained_hardderived,average_voltage,V,5,640,640.0,77.0,0.8048269193476528,0.02715239691721982,0.7810267940861408,0.8286270446091648,0.600972111599459,0.015720317085904493,0.5871926461277409,0.614751577071177,0.4770350060217531,0.06174641073492605,0.42291189068794544,0.5311581213555607,0.6729204832892257,0.03477777999781605,0.6424364150580193,0.7034045515204321
P2,framework_groupkfold,unconstrained_hardderived,capacity_grav,mAh/g,5,640,640.0,77.0,63.90611911988829,5.8081040026627955,58.815091494713975,68.9971467450626,45.273391178176254,3.7517109936188837,41.98487149921954,48.56191085713297,0.286220404372019,0.08005681762966771,0.2160475097493807,0.3563932989946573,0.6125039815562949,0.03966352061101483,0.5777373728575232,0.6472705902550666
P2,framework_groupkfold,unconstrained_hardderived,energy_grav,Wh/kg,5,640,640.0,77.0,226.4256667686198,24.220382738642297,205.19556524871047,247.65576828852915,163.71832710033658,14.26681453376729,151.2129127893414,176.22374141133176,0.3528531379136998,0.09957067509143189,0.265575593070265,0.44013068275713463,0.6520878961843115,0.03201242600285571,0.6240277676028212,0.6801480247658018
P2,framework_groupkfold,unconstrained_hardderived,max_delta_volume,database_volume_change,5,640,640.0,77.0,0.07572987732632314,0.024344218250518888,0.05439122919436065,0.09706852545828562,0.043564818315754913,0.0025742178268486665,0.041308416904262554,0.04582121972724727,0.09648633230941113,0.06132991434763089,0.042728292155478534,0.1502443724633437,0.3843317260523163,0.042753193644869986,0.34685689953222093,0.4218065525724117
P2,framework_groupkfold,unconstrained_hardderived,stability_charge,eV/atom,5,640,640.0,77.0,0.10823388003348773,0.014774300833889297,0.09528363436752128,0.12118412569945418,0.05105835378768756,0.004647394909218351,0.04698473254105047,0.055131975034324654,-0.015861872782809594,0.2229153216710949,-0.21125576727606726,0.17953202171044808,0.3488936142763081,0.1033739499421416,0.2582823520403788,0.4395048765122374
P2,framework_groupkfold,unconstrained_hardderived,stability_discharge,eV/atom,5,640,640.0,77.0,0.08103596070161184,0.013448863504747853,0.06924751207905279,0.0928244093241709,0.03924232623198108,0.003234965504715755,0.03640675394480383,0.04207789851915833,-0.0017054715778266644,0.14325722090328535,-0.127275962187147,0.12386501903149369,0.3890946205735797,0.04526882208338027,0.34941474850518517,0.4287744926419742
P2,framework_groupkfold,unconstrained_hardderived,stability_worst,eV/atom,5,640,640.0,77.0,0.10591129604973022,0.012942125950205878,0.09456702247770465,0.11725556962175579,0.04784943151285311,0.003021589431355066,0.045200891600360005,0.05049797142534622,0.0266430915762468,0.15925524791309467,-0.11295028798579956,0.16623647113829318,0.396795162001246,0.0835412692406341,0.3235680108773673,0.47002231312512466
P2,leave_chemical_system_out,softconstrained_direct,average_voltage,V,75,7,17.0,77.0,0.7520567525903362,0.33140194551440133,0.6770534316288758,0.8270600735517967,0.6207777200281419,0.31606260599928887,0.549246018411592,0.6923094216446918,-0.982212879646364,2.1813176716444014,-1.475891542851861,-0.4885342164408667,0.2725928307711359,0.3270361515693225,0.19857758199496717,0.3466080795473046
