protocol,split_name,fold_id,target,mae__softconstrained_direct,mae__softconstrained_hardderived,mae__unconstrained_direct,mae__unconstrained_hardderived,r2__softconstrained_direct,r2__softconstrained_hardderived,r2__unconstrained_direct,r2__unconstrained_hardderived,rmse__softconstrained_direct,rmse__softconstrained_hardderived,rmse__unconstrained_direct,rmse__unconstrained_hardderived,spearman__softconstrained_direct,spearman__softconstrained_hardderived,spearman__unconstrained_direct,spearman__unconstrained_hardderived
P3,leave_chemical_system_out,68,stability_charge,0.0299788732471068,0.0299788732471068,0.0314056018041732,0.0314056018041732,-1.4175549070232258,-1.4175549070232258,-2.0290244791958973,-2.0290244791958973,0.0348363909586098,0.0348363909586098,0.0389938731164512,0.0389938731164512,0.4504687313477795,0.4504687313477795,0.5405624776173354,0.5405624776173354
P3,leave_chemical_system_out,68,stability_discharge,0.0248266300767878,0.0248266300767878,0.0252291939441866,0.0252291939441866,-0.9968513493831616,-0.9968513493831616,-0.7524960485978844,-0.7524960485978844,0.0300255629128807,0.0300255629128807,0.0281285155818988,0.0281285155818988,0.6126374746329801,0.6126374746329801,-0.2522624895547565,-0.2522624895547565
P3,leave_chemical_system_out,68,stability_worst,0.0263660885287546,0.0299788732471068,0.020739118224418,0.0314056018041732,-1.288721630691524,-1.4175549070232258,-0.6104955081557188,-2.0290244791958973,0.0338954551256531,0.0348363909586098,0.0284331346394044,0.0389938731164512,0.1801874925391118,0.4504687313477795,0.5225437283634242,0.5405624776173354
P3,leave_chemical_system_out,69,average_voltage,0.4873777976476366,0.4873777976476366,0.6319741158604562,0.6319741158604562,-3.4900866448450705,-3.4900866448450705,-6.423587433457596,-6.423587433457596,0.5570179307085231,0.5570179307085231,0.7162237674630786,0.7162237674630786,-0.0714285714285714,-0.0714285714285714,-0.2142857142857143,-0.2142857142857143
P3,leave_chemical_system_out,69,capacity_grav,39.460974244217695,39.460974244217695,34.35733292429215,34.35733292429215,-0.5844711965535418,-0.5844711965535418,0.1059526302660839,0.1059526302660839,55.67615563991363,55.67615563991363,41.82224393272367,41.82224393272367,0.5,0.5,0.25,0.25
P3,leave_chemical_system_out,69,energy_grav,169.57259290000906,155.8576183603885,159.15299931878403,168.5131359385135,-0.299120826920243,-0.255142664684747,-0.0096831062343629,-0.131684429051919,243.6857758777482,239.52560917920823,214.8314957063617,227.44064454018311,0.5,0.5,0.1428571428571428,0.1071428571428571
P3,leave_chemical_system_out,69,max_delta_volume,0.0416233144592746,0.0416233144592746,0.0398256349479646,0.0398256349479646,0.367976327666752,0.367976327666752,0.3725274030746615,0.3725274030746615,0.0430941930682038,0.0430941930682038,0.0429387564351683,0.0429387564351683,0.5357142857142858,0.5357142857142858,0.7857142857142859,0.7857142857142859
P3,leave_chemical_system_out,69,stability_charge,0.0286435760176511,0.0286435760176511,0.0349566419073606,0.0349566419073606,-1.17121410426657,-1.17121410426657,-2.4481265587665866,-2.4481265587665866,0.0335847050555344,0.0335847050555344,0.0423235230572743,0.0423235230572743,0.7158675207589936,0.7158675207589936,-0.9177788727679403,-0.9177788727679403
P3,leave_chemical_system_out,69,stability_discharge,0.0542821534745081,0.0542821534745081,0.0390672960465125,0.0390672960465125,-3.2784510446706703,-3.2784510446706703,-1.7537231368469093,-1.7537231368469093,0.0659128655236647,0.0659128655236647,0.0528794641988927,0.0528794641988927,0.2142857142857143,0.2142857142857143,-0.6785714285714287,-0.6785714285714287
P3,leave_chemical_system_out,69,stability_worst,0.0338418742197007,0.0379814332970658,0.0405992927001862,0.034062965070633,-1.6515583052302043,-2.1163615525183306,-1.9116999193704625,-2.042744862223409,0.0445258756125263,0.0482709445389374,0.0466589740636008,0.0476973935002403,0.0714285714285714,0.2857142857142857,-0.8214285714285715,-0.6071428571428572
